OBJECTID,BDEPT,BIN,AllBridges_2015April_Health_Index,Item_6A,Item_7,Item_8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item_16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item_26,AllBridges_2015April_Item_28A,AllBridges_2015April_Item_29,AllBridges_2015April_Item_49,AllBridges_2015April_Item_52,AllBridges_2015April_Item_58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
87,F07001,276,0.4154,WATER RESERVOIR OUTLET,ST  9 WORCESTER RD,NBI,DOT,42,17,39.2886,71,27,27.5502,14,4,58800,16.5,27.4,4,True,20,25,40,True,Framingham,MAPC
88,B18001,27B,0.7567,HWY   CENTRAL ST,ST  2,NBI,DOT,42,30,1.9404,71,28,31.1844,12,4,44000,20.1,27.2,7,True,0,0,0,False,Boxborough,MAPC
89,L13018,27C,0.9656,RR    MBTA/BMRR,ST  2,NBI,DOT,42,31,4.0542,71,30,6.1308,12,4,42000,53,27,7,True,0,0,0,False,Littleton,MAPC
90,L13017,27D,0.9846,HWY   FOSTER ST,ST  2,NBI,DOT,42,31,6.819,71,30,12.2508,12,4,42221,16.2,27.8,6,True,0,0,0,False,Littleton,MAPC
91,H25016,27F,0.9699,WATER ASSABET RIVER,I 495 NB,NBI,DOT,42,22,7.9134,71,35,40.7328,11,3,50000,25.9,17.1,5,True,0,0,0,False,Hudson,MAPC
92,H25016,27G,0.7918,WATER ASSABET RIVER,I 495 SB,NBI,DOT,42,22,6.1746,71,35,43.0908,11,3,50000,25.3,17.1,5,True,0,0,0,False,Hudson,MAPC
93,H25017,27H,0.9509,HWY   RIVER RD,I 495 NB,NBI,DOT,42,22,17.943,71,35,45.7872,11,3,48989,40.8,17.1,6,True,0,0,0,False,Hudson,MAPC
94,H25017,27J,0.7547,HWY   RIVER RD,I 495 SB,NBI,DOT,42,22,15.7116,71,35,48.1446,11,3,48720,43,17.1,6,True,0,0,0,False,Hudson,MAPC
95,L13022,27K,0.5822,ST  2,I 495 NB,NBI,DOT,42,31,14.4258,71,30,29.07,11,4,75000,50.9,18.3,4,True,0,0,0,True,Littleton,MAPC
96,L13023,27M,0.7585,RR    MBTA/BMRR,I 495 NB,NBI,DOT,42,31,27.7572,71,30,17.8338,11,4,65674,54.9,18.3,5,True,0,0,0,False,Littleton,MAPC
