OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
3230,W32027,353,1,WATER MILL RIVER,ST  3,W32027353DOTNBI,NBI,DOT,42,11,41.3088,70,57,22.9895,12,8,101842,9.1,40.8,46.9,N,TRUE,0,0,0,FALSE,Weymouth
3231,W32030,354,1,WATER MILL RIVER,ST  3 RAMPS D&E,W32030354DOTNBI,NBI,DOT,42,11,36.924,70,57,28.2708,12,2,28000,9.1,15.5,29.6,N,TRUE,0,0,0,FALSE,Weymouth
3232,W32021,355,0.7215,HWY   SUMMER ST,ST  3,W32021355DOTNBI,NBI,DOT,42,11,58.3763,70,58,12.3491,12,6,132623,19.1,33.6,35.5,7,TRUE,0,0,0,FALSE,Weymouth
3233,B21048,356,0.7021,ST 37 GRANITE ST,I  93 NB/US1NB,B21048356DOTNBI,NBI,DOT,42,13,22.0907,71,1,51.1356,11,4,197000,32.3,21.1,22,7,TRUE,0,0,0,FALSE,Braintree
3234,B21029,357,0.9924,I  93 NB,I  93 SB CONNECTOR,B21029357DOTNBI,NBI,DOT,42,13,37.1999,71,1,13.4472,12,3,35185,22,13.4,14.4,7,TRUE,0,0,0,FALSE,Braintree
3235,R01009,358,0.7148,ST 28 N MAIN ST,I  93 NB/US1NB,R01009358DOTNBI,NBI,DOT,42,12,18.3384,71,3,53.928,11,5,92667,49.7,21,22,5,TRUE,0,0,0,FALSE,Randolph
3236,R01005,359,0.7335,ST 24 NB,I  93 NB/US1SB,R01005359DOTNBI,NBI,DOT,42,12,8.6868,71,4,51.1391,11,3,201000,64.6,15.5,17.7,5,TRUE,0,0,0,TRUE,Randolph
3237,R01007,35A,0.937,ST 24 SB,I  93 NB/US1NB,R0100735ADOTNBI,NBI,DOT,42,12,9.6084,71,4,41.2139,11,3,196000,25.9,15.5,17.7,5,TRUE,0,0,0,FALSE,Randolph
3238,C02031,35B,0.8276,WATER NEPONSET RIVER,I  95 NB,C0203135BDOTNBI,NBI,DOT,42,9,53.3484,71,10,35.5476,11,4,46896,29,15.2,17.1,7,TRUE,0,0,0,FALSE,Canton
3239,C02033,35C,0.8514,RR    AMTRAK/MBTA,I  95 NB,C0203335CDOTNBI,NBI,DOT,42,11,15.3275,71,9,19.7099,11,3,101897,24.4,15.2,17.1,7,TRUE,0,0,0,FALSE,Canton
3240,C02033,35D,0.8473,RR    AMTRAK/MBTA,I  95 SB,C0203335DDOTNBI,NBI,DOT,42,11,17.5451,71,9,19.9224,11,3,90829,24.4,15.2,17.1,7,TRUE,0,0,0,FALSE,Canton
3241,C02041,35E,0,WATER NEPONSET RIVER,I  95 NB RAMP,C0204135EDOTREM,REM,DOT,42,12,36,71,8,42,11,2,10,40.8,8.9,12.8,8,TRUE,0,0,0,FALSE,Canton
3242,C02026,35F,0.5525,WATER NEPONSET RIVER,I  95 NB/US1/ST128,C0202635FDOTREM,REM,DOT,42,12,35.892,71,8,41.8452,11,4,157000,42.7,15.2,17.5,4,TRUE,0,0,0,FALSE,Canton
3243,C02027,35G,0.5458,WATER NEPONSET RIVER,I  95 SB/US1/ST128,C0202735GDOTREM,REM,DOT,42,12,35.352,71,8,42.2124,11,3,166000,42.7,15.2,17.5,4,TRUE,0,0,0,FALSE,Canton
3244,C02036,35H,0.5163,I  95 /US1/ST128,I  95 NB,C0203635HDOTNBI,NBI,DOT,42,12,27.2988,71,8,24,11,2,110000,90.2,28,29.8,4,TRUE,0,0,0,TRUE,Canton
3245,C02036,35J,0.7331,I  95 /US1/ST128,I  95 SB,C0203635JDOTNBI,NBI,DOT,42,12,28.3068,71,8,25.5336,11,2,110000,90.2,15.8,17.7,6,TRUE,0,0,0,FALSE,Canton
3246,C02040,35K,0.9701,I  95 /US1/ST128,I  95 RAMP T,C0204035KDOTREM,REM,DOT,42,12,31.2732,71,8,35.142,19,2,0,94.5,9.5,11.2,7,TRUE,0,0,0,FALSE,Canton
3247,C02031,35L,0.9955,WATER NEPONSET RIVER,I  95 SB,C0203135LDOTNBI,NBI,DOT,42,9,54.1511,71,10,37.0955,11,3,46263,29,15.2,17.1,7,TRUE,0,0,0,FALSE,Canton
3248,D05047,35M,0.7604,COMB  AMTRAK/MBTA & PRKG,I  95 NB/ST128 NB,D0504735MDOTREM,REM,DOT,42,12,40.5504,71,8,47.8175,11,4,165000,66.4,15.5,18,4,TRUE,0,0,0,FALSE,Dedham
3249,D05047,35N,0.7538,COMB  AMTRAK/MBTA & PRKG,I  95 SB/ST128 SB,D0504735NDOTREM,REM,DOT,42,12,38.6892,71,8,49.3404,11,4,165000,66.4,15.5,18,4,TRUE,0,0,0,FALSE,Dedham
3250,D05048,35P,0.8505,HWY   ACCESS RD,I  95 NB/ST128 NB,D0504835PDOTREM,REM,DOT,42,12,44.0496,71,8,57.606,11,4,151000,40.2,15.5,18,6,TRUE,0,0,0,FALSE,Dedham
3251,D05048,35Q,0.7019,HWY   ACCESS RD,I  95 SB/ST128 SB,D0504835QDOTREM,REM,DOT,42,12,43.4736,71,8,57.9264,11,4,150000,40.2,15.5,17.9,0,TRUE,0,0,0,FALSE,Dedham
3252,D05040,35R,0.67,OTHER REPLACED BY B2C,OTHER REMOVED,D0504035RDOTREM,REM,DOT,42,15,50.7456,71,12,19.4867,11,4,155000,47.2,17.1,19.9,5,TRUE,0,0,0,FALSE,Dedham
3253,D05041,35T,0.4943,OTHER REPLACED BY B2D,OTHER REMOVED,D0504135TDOTREM,REM,DOT,42,15,52.884,71,12,24.3899,11,4,155000,47.5,17.1,19.9,5,TRUE,0,0,0,FALSE,Dedham
3254,D05038,35U,0.7438,OTHER REPLACED BY B3E,OTHER REMOVED,D0503835UDOTREM,REM,DOT,42,16,2.388,71,12,9.162,11,3,155000,89,15.5,18,6,TRUE,0,0,0,FALSE,Dedham
3255,D05039,35V,0.5796,OTHER REPLACED BY  B8J,OTHER REMOVED,D0503935VDOTREM,REM,DOT,42,16,2.0388,71,12,12.87,11,3,146000,98.5,15.5,18,5,TRUE,0,0,0,FALSE,Dedham
3256,N04022,35W,0.5308,HWY   CENTRAL AVE,I  95 NB/ST128 NB,N0402235WDOTNBI,NBI,DOT,42,18,38.6279,71,13,46.1711,11,4,82500,15.8,15.5,18.3,5,TRUE,0,0,0,FALSE,Needham
3257,N04022,35X,0.5205,HWY   CENTRAL AVE,I  95 SB/ST128 SB,N0402235XDOTNBI,NBI,DOT,42,18,38.2104,71,13,47.172,11,4,82600,15.8,15.5,18.3,5,TRUE,0,0,0,FALSE,Needham
3258,W31005,35Y,0.4923,OTHER REPLACED BY 4W5,OTHER REMOVED,W3100535YDOTREM,REM,DOT,42,13,32.1852,71,10,39.0792,11,4,150000,41.1,15.5,18.1,4,TRUE,0,0,0,FALSE,Westwood
3259,W31013,360,0.9619,OTHER REPLACED BY 7RD,OTHER REMOVED,W31013360DOTREM,REM,DOT,42,13,31.7784,71,10,39.972,11,3,155000,44.7,15.5,18,5,TRUE,0,0,0,FALSE,Westwood
3265,D05001,366,0.9823,WATER CHARLES RIVER,ST135 DEDHAM AVE,D05001366DOTNBI,NBI,DOT,42,16,3.7452,71,13,5.3147,14,2,23500,17.1,8.7,10.7,N,TRUE,0,0,0,FALSE,Dedham
3267,C02037,368,0.8833,WATER NEPONSET RIVER,HWY   NEPONSET ST,C02037368DOTNBI,NBI,DOT,42,10,7.32,71,10,3.9936,14,3,36300,35.1,17.8,19.7,7,TRUE,0,0,0,FALSE,Canton
3268,D05004,369,0.6898,OTHER REPLACED BY AX9,OTHER SPANNED OVER,D05004369DOTCLO,CLO,DOT,42,15,14.4144,71,10,52.9608,14,2,19000,21.3,8.2,9.1,N,TRUE,0,0,0,FALSE,Dedham
3269,C02028,36A,0.5074,I  93 /US1,ST138 WASHNGTON ST,C0202836ADOTNBI,NBI,DOT,42,12,11.4767,71,7,9.3935,14,4,53400,51.2,21,25,7,TRUE,0,0,0,FALSE,Canton
3273,B21027,36E,0.335,ST  3,HWY   WASHNGTON ST,B2102736EDOTNBI,NBI,DOT,42,13,32.5595,71,0,16.9704,12,6,37240,56.4,9.1,13.4,6,TRUE,0,0,0,FALSE,Braintree
3274,B21010,36F,0.8726,RR    MBTA,HWY   WASHNGTON ST,B2101036FDOTNBI,NBI,DOT,42,13,34.7483,71,0,16.632,14,6,32100,33.9,23.9,27.8,7,TRUE,0,0,0,FALSE,Braintree
3277,C02001,36J,0.9994,WATER NEPONSET RIVER,HWY   GREENLDGE ST,C0200136JDOTNBI,NBI,DOT,42,12,33.1559,71,8,45.2076,19,2,400,17.7,12.3,15.3,N,TRUE,0,0,0,FALSE,Canton
3286,B21017,36U,0.6378,RR    MBTA/CSX,ST 37 WASHNGTON ST,B2101736UDOT634,634,DOT,42,11,12.7859,71,0,29.2607,14,2,32100,29.6,12.2,15.9,5,TRUE,0,0,0,TRUE,Braintree
3291,C02009,370,0.9973,RR    AMTRAK/MBTA,HWY   CHAPMAN ST,C02009370DOT634,634,DOT,42,9,59.7959,71,9,14.7564,17,2,13800,37.5,12.2,17.6,7,TRUE,0,0,0,FALSE,Canton
3301,R01001,37A,0.9848,OTHER BIKE PATH,ST 28 N MAIN ST,R0100137ADOT634,634,DOT,42,10,2.6004,71,2,39.7967,14,4,36240,11.3,14,19.2,6,TRUE,0,0,0,FALSE,Randolph
3302,W32013,37B,0.448,RR    MBTA,ST 18 MAIN ST,W3201337BDOT634,634,DOT,42,9,29.2715,70,57,18.6624,14,2,44500,35.9,12.2,15.9,6,TRUE,0,0,0,FALSE,Weymouth
3306,M25011,37F,0.9743,WATER PINE TREE BROOK,HWY   BROOK RD,M2501137FMUNNBI,NBI,MUN,42,15,32.8536,71,5,2.5151,14,4,17500,9.8,16.3,22.9,7,TRUE,0,0,0,FALSE,Milton
3308,B16016,37H,0.4274,WATER CHARLES RIVER,HWY   N WSHNGTN ST,B1601637HMUNNBI,NBI,MUN,42,22,4.0763,71,3,32.9075,14,6,40000,129.2,22.6,30.8,6,TRUE,0,0,0,TRUE,Boston
3309,B16245,37J,0.6555,OTHER SUL SQ OP SB/GRDNR,OTHER REMOVED 2004,B1624537JMUNREM,REM,MUN,42,23,3.2352,71,4,30.5688,12,2,7500,121.3,8.4,10.1,5,TRUE,0,0,0,FALSE,Boston
3310,B16016,37K,0.5328,WATER CHARLES RIVER,HWY   N WSHNGTN ST,B1601637KMUNNBI,NBI,MUN,42,22,7.446,71,3,35.2835,14,6,40000,73.5,20.1,30.8,6,TRUE,0,0,0,TRUE,Boston
3311,B16245,37L,0.5104,OTHER SUL SQ OP NB/GRDNR,OTHER REMOVED 2004,B1624537LMUNREM,REM,MUN,42,23,3.8472,71,4,30.2448,12,2,27772,242.9,8.5,10.1,5,TRUE,0,0,0,FALSE,Boston
3312,B16016,37M,0.4084,WATER CHARLES RIVER,HWY   N WSHNGTN ST,B1601637MMUNNBI,NBI,MUN,42,22,10.128,71,3,37.1376,14,6,40000,129.2,24.4,30.8,6,TRUE,0,0,0,TRUE,Boston
3313,B16245,37N,0.374,OTHER SUL SQ OVP/RR&ST99,OTHER REMOVED 2004,B1624537NMUNREM,REM,MUN,42,23,2.6808,71,4,28.2828,12,4,45000,266.7,18.6,20.1,4,TRUE,0,0,0,FALSE,Boston
3314,B16016,37P,0.9939,OTHER WAREHOUSE,HWY   N WSHNGTN ST,B1601637PMUNNBI,NBI,MUN,42,22,13.7423,71,3,39.7799,14,6,66200,82.9,24.7,31.2,7,TRUE,0,0,0,FALSE,Boston
3315,B16245,37Q,0.7059,OTHER SUL SQ OVERP/ST99,OTHER REMOVED 2004,B1624537QMUNREM,REM,MUN,42,22,59.898,71,4,25.6836,12,4,26600,141.1,19.5,21.1,6,TRUE,0,0,0,FALSE,Boston
3316,B16016,37R,0.9843,HWY   WATER ST,HWY   N WSHNGTN ST,B1601637RMUNNBI,NBI,MUN,42,22,14.6496,71,3,40.7483,14,6,64400,18.3,33.5,42.1,7,TRUE,0,0,0,FALSE,Boston
3318,B16245,37U,0.4126,ST 99 SULLIVAN SQ UNDRPS,HWY   MISHAWUM ST,B1624537UMUNNBI,NBI,MUN,42,22,58.8971,71,4,22.782,14,1,5900,22.3,7.3,16.8,6,TRUE,0,0,0,FALSE,Boston
3319,B16245,37V,0.6691,ST 99 SULLIVAN SQ UNDRPS,HWY   SOUTH ROTARY,B1624537VMUNNBI,NBI,MUN,42,23,1.9283,71,4,24.3551,14,3,26200,18.9,15.8,19.6,6,TRUE,0,0,0,FALSE,Boston
3321,B16245,37X,0.6929,ST 99 SULLIVAN SQ UNDRPS,HWY   NORTH ROTARY,B1624537XMUNNBI,NBI,MUN,42,23,6.9072,71,4,23.2356,14,3,28000,18.6,15.8,19.7,7,TRUE,0,0,0,FALSE,Boston
3324,B16003,381,0.943,WATER NEPONSET RIVER,HWY   ADAMS ST,B16003381MUNNBI,NBI,MUN,42,16,15.4992,71,4,5.3327,14,2,27200,36.3,12.9,18.2,7,TRUE,0,0,0,FALSE,Boston
3326,B16019,383,0.879,WATER CHELSEA RIVER,HWY   MERIDIAN ST,B16019383MUNNBI,NBI,MUN,42,23,8.376,71,2,21.4944,14,2,23600,327.7,12.2,13.4,6,TRUE,20,25,40,TRUE,Boston
3331,B16029,388,0.9743,WATER MYSTIC RIVER,ST 99 ALFORD ST,B16029388MUNNBI,NBI,MUN,42,23,20.0652,71,4,18.4188,14,4,55000,251.46,23.2,29,8,TRUE,9,12,18,FALSE,Boston
3332,B16031,389,0.9871,WATER FORT POINT CHANNEL,HWY   SUMMER ST,B16031389MUNNBI,NBI,MUN,42,21,3.6431,71,3,7.3763,14,4,26500,153,9.8,30.5,6,TRUE,0,0,0,FALSE,Boston
3334,B16034,38B,0.9767,WATER RESERVE CHANNEL,HWY   SUMMER ST,B1603438BMUNNBI,NBI,MUN,42,20,32.928,71,2,10.6403,19,4,22900,284.1,17.1,21.6,7,TRUE,0,0,0,FALSE,Boston
3335,B16035,38C,0.9493,WATER MOTHER BROOK,HWY   HYDE PARK AV,B1603538CMUNNBI,NBI,MUN,42,15,4.9,71,7,32.24,14,2,17500,18,10.1,15.2,7,TRUE,0,0,0,FALSE,Boston
3336,B16066,38D,0.9708,COMB  ORANGE & MBTA/BMRR,HWY   CAMBRIDGE ST,B1606638DMUNNBI,NBI,MUN,42,22,58.9152,71,4,37.5851,14,2,28400,52.7,16.8,22.6,6,TRUE,0,0,0,FALSE,Boston
3337,B16106,38E,0.9532,RR    AMTRAK/MBTA,HWY   CUMMINS HWY,B1610638EMUNNBI,NBI,MUN,42,16,49.0224,71,7,11.0316,14,4,21500,25.3,13.4,18.3,7,TRUE,0,0,0,FALSE,Boston
3339,B16115,38G,0.7994,RR    MBTA,HWY   BELGRADE AVE,B1611538GMUNNBI,NBI,MUN,42,17,10.7556,71,8,58.668,14,2,14500,13.1,12.3,19,7,TRUE,0,0,0,FALSE,Boston
3340,B16124,38H,0.9853,HWY   A ST,HWY   SUMMER ST,B1612438HMUNNBI,NBI,MUN,42,20,58.7328,71,2,56.3711,14,6,14000,17.5,23.2,30.5,7,TRUE,0,0,0,FALSE,Boston
3342,B16184,38K,0.3424,WATER FORT POINT CHANNEL,HWY   NORTHERN AVE,B1618438KMUNCLO,CLO,MUN,42,21,16.1568,71,3,0.2412,19,3,0,193.9,17.1,18.9,3,TRUE,0,0,0,FALSE,Boston
3345,B16237,38N,0.79,ST  2 COMMONWEALTH AVE,ST  2 A/MASS AVE,B1623738NMUNNBI,NBI,MUN,42,20,56.9471,71,5,19.2119,14,4,29700,15.5,18.3,29,4,TRUE,0,0,0,TRUE,Boston
3346,B16238,38P,0.9081,ST  9 HUNTINGTON AVE,HWY   MASS AVE,B1623838PMUNNBI,NBI,MUN,42,20,34.0187,71,5,5.5535,14,4,22100,16.8,29,48.3,5,TRUE,0,0,0,FALSE,Boston
3347,B16275,38Q,0.842,RR    CSX SPUR,HWY   HERALD ST,B1627538QMUNNBI,NBI,MUN,42,20,46.4316,71,3,45.4788,14,4,30500,28.3,12.2,15.8,6,TRUE,13,25,40,TRUE,Boston
3348,B16361,38R,0.4009,OTHER SUMMER ST/C ST,OTHER REMOVED,B1636138RMUNREM,REM,MUN,42,20,49.614,71,2,39.3072,14,4,19900,20.4,21.4,30.6,6,TRUE,0,0,0,FALSE,Boston
3356,B16189,391,0.6755,WATER MUDDY RIVER,HWY   AGASSIZ RD,B16189391MUNNBI,NBI,MUN,42,20,35.268,71,5,39.1307,14,1,1940,20.4,5.9,22.1,N,TRUE,15,22,34,FALSE,Boston
3359,B16351,394,0.5839,HWY   RUTHERFORD AVE,HWY   AUSTIN ST,B16351394MUNNBI,NBI,MUN,42,22,27.2208,71,4,4.0188,16,6,31400,28.3,32,46.7,6,TRUE,0,0,0,FALSE,Boston
3362,B16018,397,0.9802,WATER MUDDY RIVER,HWY   BEACON ST,B16018397DOTNBI,NBI,DOT,42,21,0.2232,71,5,32.9027,14,3,25800,16.5,14.1,21.6,7,TRUE,0,0,0,FALSE,Boston
3363,B16256,398,0.5707,I  93 /US1/ST3,HWY   DORCHSTR AVE,B16256398DOTNBI,NBI,DOT,42,19,32.3975,71,3,24.6815,14,2,8400,65.8,12.2,18.9,6,TRUE,0,0,0,FALSE,Boston
3364,Q01009,399,0.9938,COMB  SGMRE ST&MBTA&REDS,HWY   HANCOCK ST,Q01009399DOTNBI,NBI,DOT,42,16,45.0263,71,1,57.0035,14,4,19900,74,14.6,19.5,7,TRUE,0,0,0,FALSE,Quincy
3365,R05007,39A,0.5605,WATER PINES RIVER,ST107 SALEM TPK,R0500739ADOTREM,REM,DOT,42,25,50.8152,70,59,53.4948,14,4,37400,39.3,22.3,25.9,5,TRUE,0,0,0,FALSE,Revere
3366,R05017,39B,0.6178,ST145 REVERE BCH PKWY,ST  1 A/LEE BRBNK,R0501739BDOTNBI,NBI,DOT,42,24,15.714,71,0,10.332,14,4,59000,42.4,18.3,24.5,6,TRUE,0,0,0,FALSE,Revere
3367,R05018,39C,0.7138,COMB  ST16 & MBTA/BMRR,ST  1 A/LEE BRBNK,R0501839CDOTNBI,NBI,DOT,42,24,25.6464,71,0,9.7452,14,4,52900,53.9,20.1,24.4,6,TRUE,0,0,0,FALSE,Revere
3368,R05019,39D,1,OTHER OIL PIPE TUNNEL,ST  1 A/LEE BRBNK,R0501939DDOTNBI,NBI,DOT,42,23,47.6844,71,0,32.292,14,4,54000,6.7,24.4,30.8,N,TRUE,0,0,0,FALSE,Revere
3369,R05020,39E,0.500000146,OTHER OIL PIPE TUNNEL,ST  1 A/LEE BRBNK,R0502039EDOTNBI,NBI,DOT,42,23,55.0824,71,0,26.5283,14,4,54010,6.7,24.4,30.8,N,TRUE,0,0,0,FALSE,Revere
3370,R05021,39F,0.6111,OTHER OIL PIPE TUNNEL,ST  1 A/LEE BRBNK,R0502139FDOTNBI,NBI,DOT,42,24,0.5687,71,0,22.1472,14,4,54000,6.7,24.4,30.8,N,TRUE,0,0,0,FALSE,Revere
3371,R05009,39G,0.7124,WATER DIAMOND CREEK,ST107 BROADWAY,R0500939GDOTREM,REM,DOT,42,25,41.3472,70,59,58.4304,14,4,31800,11.4,23.5,25.5,5,TRUE,0,0,0,FALSE,Revere
3372,R05054,39H,0.768,ST  1 A/RAMP A&B,ST  1 A/N SHORE RD,R0505439HDOTNBI,NBI,DOT,42,26,24.6516,70,58,7.3092,14,5,34800,33.2,21.9,27.2,7,TRUE,0,0,0,FALSE,Revere
3373,L18016,39J,0.5188,WATER SAUGUS RIVER,ST107 WESTERN AVE,L1801639JDOTCLO,CLO,DOT,42,27,2.25,70,58,48.4716,14,4,22600,64,14.8,18.3,5,TRUE,0,0,0,FALSE,Lynn
3374,S05003,39K,0.8486,WATER E BR PINES RIVER,ST107 SALEM TNPK,S0500339KDOTREM,REM,DOT,42,26,10.644,70,59,38.724,14,4,35000,9.5,22.3,25.6,5,TRUE,0,0,0,FALSE,Saugus
3375,B16235,39L,0.6453,COMB  BLUE LINE & RELIEF,ST  1 A/RAMP NB,B1623539LDOTREM,REM,DOT,42,22,26.886,71,1,50.5812,14,1,19900,18.6,7.7,9.1,0,TRUE,0,0,0,FALSE,Boston
3376,B16236,39M,0.505,OTHER RELIEF,ST  1 A/ON RAMP,B1623639MDOTNBI,NBI,DOT,42,22,45.4943,71,1,32.4804,16,1,11365,129.8,7.7,9.1,6,TRUE,0,0,0,FALSE,Boston
3377,B16235,39N,0.6967,OTHER RELIEF,ST  1 A/RAMP EB,B1623539NDOTREM,REM,DOT,42,22,18,71,1,60,14,1,35000,177.7,7.7,9.1,5,TRUE,0,0,0,FALSE,Boston
3378,B16236,39P,0.516,OTHER RELIEF,ST  1 A/OFF RAMP,B1623639PDOTNBI,NBI,DOT,42,22,44.6447,71,1,31.242,16,1,8655,92.7,7.7,9.1,6,TRUE,0,0,0,FALSE,Boston
3379,B16235,39Q,0.4337,ST  1 A/NB,ST  1 A/RAMP EB,B1623539QDOTREM,REM,DOT,42,22,24,71,1,54,12,1,34000,229.5,7.7,8.9,6,TRUE,0,0,0,FALSE,Boston
3380,B16235,39R,0.7456,ST  1 A/NB & EB RAMP,ST  1 A/RAMP WB,B1623539RDOTREM,REM,DOT,42,22,25.1508,71,1,51.744,14,1,39000,107,7.7,9.1,6,TRUE,0,0,0,FALSE,Boston
3381,B16235,39T,0.7698,HWY   CHELSEA & BREMEN S,ST  1 A,B1623539TDOTNBI,NBI,DOT,42,22,22.9368,71,2,6.6408,14,6,48853,115.8,26.7,28.4,6,TRUE,0,0,0,FALSE,Boston
3382,B16236,39U,0.9862,OTHER RELIEF,ST  1 A,B1623639UDOTNBI,NBI,DOT,42,22,44.7384,71,1,31.9187,12,6,43200,51.5,33.5,35.1,6,TRUE,0,0,0,FALSE,Boston
3383,B16235,39V,0.977,OTHER RELIEF,ST  1 A/NB,B1623539VDOTNBI,NBI,DOT,42,22,21.1151,71,2,3.4008,14,2,26600,62.2,12.5,13.7,7,TRUE,0,0,0,FALSE,Boston
3384,B16236,39W,0.9086,HWY   BNINGTN & NEPTUNE,ST  1 A,B1623639WDOTNBI,NBI,DOT,42,22,48.09,71,1,29.1575,16,6,57000,216.4,35.7,36.7,5,TRUE,0,0,0,FALSE,Boston
3385,B16235,39X,0.9845,OTHER RELIEF,ST  1 A  NB,B1623539XDOTNBI,NBI,DOT,42,22,20.9424,71,1,59.79,12,2,26600,80.5,15,17,7,TRUE,0,0,0,FALSE,Boston
3386,B16236,39Y,0.9729,HWY   SARATGA ST & U TRN,ST  1 A,B1623639YDOTNBI,NBI,DOT,42,22,53.5979,71,1,23.6351,12,5,71520,247.2,23.5,26.1,5,TRUE,0,0,0,FALSE,Boston
3387,B16235,3A0,0.6965,RR    BMRR,ST  1 A/SB,B162353A0DOTNBI,NBI,DOT,42,22,21.4392,71,2,0.6755,14,3,49100,211.5,12.6,13.9,6,TRUE,0,0,0,FALSE,Boston
3388,B16235,3A1,0.9906,OTHER RELIEF,ST  1 A/SB,B162353A1DOTNBI,NBI,DOT,42,22,24.8304,71,1,55.0452,14,2,49100,72.5,12.6,13.9,7,TRUE,0,0,0,FALSE,Boston
3389,B16235,3A2,0.6978,OTHER RELIEF,ST  1 A/SB,B162353A2DOTREM,REM,DOT,42,22,30.648,71,1,48.5508,12,2,37392,146.3,12.6,13.9,7,TRUE,0,0,0,FALSE,Boston
3390,B16022,3A3,0.4896,WATER NEPONSET RIVER,HWY   GRANITE AVE,B160223A3DOTNBI,NBI,DOT,42,16,38.9387,71,3,11.8763,14,4,40000,57,14.6,15.5,5,TRUE,6,11,17,TRUE,Boston
3391,S17037,3A4,0.7187,HWY   CONNECTOR RAMP D&K,I  93 ST38 SB RMP,S170373A4DOTNBI,NBI,DOT,42,23,31.5,71,5,4.88,16,2,21400,56.4,9,10.7,7,TRUE,0,0,0,FALSE,Somerville
3392,C09015,3A5,0.6972,HWY   WEBSTER AVE,US  1 NE XWAY,C090153A5DOTNBI,NBI,DOT,42,24,14.6376,71,1,45.6599,12,6,51100,23.2,32.9,34.3,5,TRUE,0,0,0,FALSE,Chelsea
3393,C09007,3A6,0.6841,HWY   ARLINGTON & 5TH ST,"US  1 SB BTS 36,PR",C090073A6DOTNBI,NBI,DOT,42,23,39.9119,71,2,7.0763,17,3,27000,381.9,11.9,14.3,5,TRUE,0,0,0,TRUE,Chelsea
3394,C09011,3A7,0.7302,HWY   ORANGE & CARTER ST,US  1 NE XWAY,C090113A7DOTNBI,NBI,DOT,42,24,6.3576,71,2,14.9351,12,6,56000,309.1,25,27.4,5,TRUE,0,0,0,TRUE,Chelsea
3395,C09007,3A8,0.7329,RR    MBTA/BMRR,US  1 NE XWAY,C090073A8DOTNBI,NBI,DOT,42,23,45.3515,71,2,7.512,12,6,67500,32.9,26.8,28.7,6,TRUE,0,0,0,FALSE,Chelsea
3397,C09007,3AA,0.6902,HWY   SPRUCE ST,US  1,C090073AADOTNBI,NBI,DOT,42,23,48.8904,71,2,11.6448,12,6,74500,246.3,26.2,28.7,5,TRUE,0,0,0,TRUE,Chelsea
3398,C09007,3AB,0.712,HWY   ARLINGTON & 5TH ST,"US  1 NB,S ABT PR1",C090073ABDOTNBI,NBI,DOT,42,23,41.1251,71,2,5.9676,12,3,36500,266.4,11.9,14.3,5,TRUE,0,0,0,TRUE,Chelsea
3400,R05031,3AD,0.576,ST 60 WB/SQUIRE RD,US  1 RD EB NOT US,R050313ADDOTNBI,NBI,DOT,42,25,50.8728,71,0,54.919,12,3,10,59.1,14.8,16.5,7,TRUE,0,0,0,TRUE,Revere
3401,R05031,3AE,0.5755,HWY   TO ST60 WB/SQUIRE,US  1 RD WB NOT US,R050313AEDOTNBI,NBI,DOT,42,25,50.1168,71,0,54.8676,12,2,10,65.5,14.8,16.5,6,TRUE,0,0,0,TRUE,Revere
3402,M01008,3AF,0.9918,HWY   LYNN ST,US  1,M010083AFDOTNBI,NBI,DOT,42,26,11.7923,71,1,16.6223,12,4,66200,20.4,19.5,24,7,TRUE,0,0,0,FALSE,Malden
3403,R05002,3AG,0.898,COMB  BMRR & LINDEN CRK,US  1 CUTLER HWY,R050023AGDOTNBI,NBI,DOT,42,26,7.45,71,1,10.8,12,4,114000,42.3,18.3,24.3,5,TRUE,0,0,0,FALSE,Revere
3404,R05027,3AH,0.8939,ST 16 REVERE BCH PKWY,US  1 NE XWAY,R050273AHDOTNBI,NBI,DOT,42,24,23.9903,71,1,34.1796,12,6,66200,38.7,35.4,37.8,5,TRUE,0,0,0,FALSE,Revere
3405,R05028,3AJ,0.7478,HWY   HYSIL AVE,US  1 NE XWAY,R050283AJDOTNBI,NBI,DOT,42,24,42.7284,71,1,48.162,12,6,66200,17.7,33.5,34.9,6,TRUE,0,0,0,FALSE,Revere
3406,R05033,3AK,0.7185,HWY   MALDEN ST,US  1 NE XWAY,R050333AKDOTNBI,NBI,DOT,42,25,36.1667,71,1,18.0155,12,6,66200,17.6,34.1,36,6,TRUE,0,0,0,FALSE,Revere
