OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
2068,H23012,20Q,0.9991,I 495,I  90 RAMP ON&OFF,H2301220QDOTNBI,NBI,DOT,42,15,46.1586,71,33,47.5488,11,3,38300,75.64,16.4592,18.288,7,TRUE,0,0,0,FALSE,Hopkinton
2437,W04004,2CA,0.72,WATER CHARLES RIVER,HWY   MOODY ST,W040042CAMUNNBI,NBI,MUN,42,22,23.61,71,14,11.6304,14,4,23500,68.6,13.9,20,N,TRUE,0,0,0,FALSE,Waltham
2446,W40027,2CK,0.6592,WATER ABERJONA RIVER,HWY   SKILLINGS RD,W400272CKMUNNBI,NBI,MUN,42,27,22.4856,71,8,10.5828,14,2,12300,12.7,13.4,17.7,N,TRUE,0,0,0,FALSE,Winchester
2451,B16384,2CQ,0.9926,WATER LITTLE MYSTIC CHAN,HWY   CHELSEA ST,B163842CQMUNNBI,NBI,MUN,42,22,48.6084,71,3,6.5267,16,2,5400,116.7,9.8,12.6,7,TRUE,0,0,0,FALSE,Boston
2479,A10011,2DL,0.8027,OTHER REPLACED BY AE2,OTHER REMOVED,A100112DLDOTREM,REM,DOT,42,23,53.25,71,8,39.1776,12,4,75000,43.6,18.3,24.9,5,TRUE,9,18,28,FALSE,Arlington
2480,A10021,2DM,0.6578,HWY   LAKE ST,ST  2,A100212DMDOTNBI,NBI,DOT,42,24,9.5688,71,9,22.8491,12,8,78000,52.7,40.8,42.7,6,TRUE,20,25,38,TRUE,Arlington
2481,A10012,2DN,0.7389,ST  2,ST 60 PLEASANT ST,A100122DNDOTNBI,NBI,DOT,42,24,20.7036,71,9,50.0112,14,4,24000,58.5,23.8,28.3,7,TRUE,0,0,0,FALSE,Arlington
2482,A10023,2DP,0.7211,HWY   DOW AVE,ST  2,A100232DPDOTNBI,NBI,DOT,42,24,55.3787,71,11,39.3611,12,8,67100,26.2,40.8,42.7,6,TRUE,0,0,0,FALSE,Arlington
2483,A10025,2DQ,0.6469,WATER ALEWIFE BROOK,ST  2 EB RAMP,A100252DQDOTNBI,NBI,DOT,42,23,50.75,71,8,36.63,14,2,7700,16.5,6.7,12.2,5,TRUE,0,0,0,FALSE,Arlington
2484,C19020,2DR,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,C190202DRDOTNBI,NBI,DOT,42,26,43.42,71,21,2.64,14,4,46500,22.6,21.9,23.5,6,TRUE,0,0,0,FALSE,Concord
