OBJECTID,AllBridges_2012April_1_BDEPT,AllBridges_2012April_1_BIN,AllBridges_2012April_1_Health_Index,AllBridges_2012April_1_Item_6A,AllBridges_2012April_1_Item_7,AllBridges_2012April_1_Item_8_Bridge_Cat,AllBridges_2012April_1_Item_8_Owner,AllBridges_2012April_1_Item_16A,AllBridges_2012April_1_Item_16B,AllBridges_2012April_1_Item_16C,AllBridges_2012April_1_Item_17A,AllBridges_2012April_1_Item_17B,AllBridges_2012April_1_Item_17C,AllBridges_2012April_1_Item_26,AllBridges_2012April_1_Item_28A,AllBridges_2012April_1_Item_29,AllBridges_2012April_1_Item_49,AllBridges_2012April_1_Item_52,AllBridges_2012April_1_Item_58,AllBridges_2012April_1_Item_104,AllBridges_2012April_1_Posting_2_Axle,AllBridges_2012April_1_Posting_3_Axle,AllBridges_2012April_1_Posting_5_Axle,AllBridges_2012April_1_Struct_Def,AllBridges_2012April_1_Town_Name
1899,M21022,1UE,0.9361,ST109 MEDWAY RD ,I 495 SB          ,NBI,DOT,42,8,50.7732,71,29,6.432,11,3,40200,43,17.1,6,TRUE,0,0,0,FALSE,Milford
1900,M21017,1UF,0.8002,OTHER BIKE TRAIL,I 495 SB          ,NBI,DOT,42,9,9.4752,71,29,14.4348,11,3,38700,23.8,17.1,7,TRUE,0,0,0,FALSE,Milford
1901,M21017,1UG,0.8013,OTHER BIKE TRAIL,I 495 NB          ,NBI,DOT,42,9,9.8496,71,29,13.6428,11,3,38700,23.8,17.1,7,TRUE,0,0,0,FALSE,Milford
1902,M21021,1UH,0.8053,ST 16 E MAIN ST         ,I 495 SB          ,NBI,DOT,42,9,15.9336,71,29,19.6836,11,3,35000,29.3,17.4,6,TRUE,0,0,0,FALSE,Milford
1903,M21021,1UJ,0.7887,ST 16 E MAIN ST   ,I 495 NB          ,NBI,DOT,42,9,16.506,71,29,19.0644,11,3,56000,29.3,17.4,7,TRUE,0,0,0,FALSE,Milford
1904,M21020,1UK,0.786,ST 85 CEDAR ST,I 495 NB          ,NBI,DOT,42,9,58.4064,71,30,33.3756,11,3,65000,33.5,17.4,6,TRUE,0,0,0,FALSE,Milford
1905,M21020,1UL,0.7573,ST 85 CEDAR ST,I 495 SB          ,NBI,DOT,42,9,57.4776,71,30,33.2208,11,3,65000,32.9,17.4,7,TRUE,0,0,0,FALSE,Milford
1906,M21018,1UM,0.7745,HWY   HAVEN ST          ,I 495 NB          ,NBI,DOT,42,10,53.8788,71,31,41.0304,11,3,40000,26.2,17.1,6,TRUE,0,0,0,FALSE,Milford
1907,M21018,1UN,0.7855,HWY   HAVEN ST          ,I 495 SB          ,NBI,DOT,42,10,50.304,71,31,44.2704,11,3,40000,27.1,17.1,6,TRUE,0,0,0,FALSE,Milford
1908,H23008,1UP,0.6236,I  90                   ,I 495 SB          ,NBI,DOT,42,15,59.3784,71,33,54.6408,11,3,80000,65.5,17.7,6,TRUE,0,0,0,FALSE,Hopkinton
1909,H23011,1UQ,0.7618,HWY   W MAIN ST         ,I 495 NB          ,NBI,DOT,42,12,52.3476,71,32,44.7684,11,4,98909,42.7,18.1,5,TRUE,0,0,0,FALSE,Hopkinton
1910,H23011,1UR,0.79,HWY   W MAIN ST         ,I 495 SB          ,NBI,DOT,42,12,49.8924,71,32,48.7572,11,4,98909,40.5,18.1,5,TRUE,0,0,0,FALSE,Hopkinton
1911,H23010,1UT,0.9943,ST135 WOOD ST,I 495 NB          ,NBI,DOT,42,13,46.6104,71,32,59.5968,11,3,50000,18.6,16.9,7,TRUE,0,0,0,FALSE,Hopkinton
1912,H23010,1UU,0.972,ST135 WOOD ST           ,I 495 SB          ,NBI,DOT,42,13,47.1828,71,33,4.4676,11,3,50000,18.6,16.9,7,TRUE,0,0,0,FALSE,Hopkinton
1913,H23008,1UV,0.5632,I  90                   ,I 495 NB          ,NBI,DOT,42,15,59.6412,71,33,53.7552,11,3,80000,65.5,17.7,6,TRUE,0,0,0,FALSE,Hopkinton
1914,L13025,1UW,0.6704,WATER MILL POND         ,I 495 ,NBI,DOT,42,32,5.1612,71,29,51.8676,11,6,100000,10.7,0,N,TRUE,0,0,0,FALSE,Littleton
1919,B15004,1V2,0.8586,HWY   S BOLTON RD       ,I 495 NB          ,NBI,DOT,42,24,57.1824,71,36,21.0672,1,4,47000,36.6,17.4,6,TRUE,0,0,0,FALSE,Bolton
1920,B15004,1V3,0.9638,HWY   S BOLTON RD       ,I 495 SB          ,NBI,DOT,42,24,57.7836,71,36,21.7152,1,4,51800,45.1,17.4,5,TRUE,0,0,0,FALSE,Bolton
1921,B15002,1V4,0.928,ST117 MAIN ST,I 495 NB          ,NBI,DOT,42,25,51.168,71,35,36.2184,11,4,98000,36.6,17.7,6,TRUE,0,0,0,FALSE,Bolton
1922,B15002,1V5,0.9619,ST117 MAIN ST,I 495 SB          ,NBI,DOT,42,25,51.1896,71,35,37.2696,1,4,98000,36.6,17.7,6,TRUE,0,0,0,FALSE,Bolton
1925,F08021,1V8,0.9926,RR    CSX           ,I 495 SB       ,NBI,DOT,42,5,14.118,71,25,32.538,11,3,69400,34.1,16.7,6,TRUE,0,0,0,FALSE,Franklin
1926,F08021,1V9,0.9727,RR    CSX            ,I 495 NB       ,NBI,DOT,42,5,14.0784,71,25,31.5372,12,3,69400,34.1,16.7,6,TRUE,0,0,0,FALSE,Franklin
1927,F08023,1VA,0.9557,HWY   KING ST           ,I 495 NB          ,NBI,DOT,42,3,53.9064,71,24,4.9896,11,4,40000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin
1928,F08023,1VB,0.5964,HWY   KING ST           ,I 495 SB     ,NBI,DOT,42,3,53.3196,71,24,5.4828,11,3,45000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin
1929,F08024,1VC,0.7833,HWY   SUMMER ST         ,I 495 NB  ,NBI,DOT,42,3,30.0312,71,23,2.0472,11,4,38000,28.3,16.6,7,TRUE,0,0,0,FALSE,Franklin
1930,F08024,1VD,0.8891,HWY   SUMMER ST         ,I 495 SB ,NBI,DOT,42,3,27.3816,71,23,1.608,11,4,36450,29,16.6,7,TRUE,0,0,0,FALSE,Franklin
1931,F08027,1VE,0.879,RR    MBTA/CSX   ,I 495 NB          ,NBI,DOT,42,4,20.6832,71,24,44.3088,11,4,36000,12.8,16.8,5,TRUE,0,0,0,FALSE,Franklin
1932,F08027,1VF,0.8545,RR    MBTA/CSX    ,I 495 SB          ,NBI,DOT,42,4,20.2296,71,24,45.0108,11,4,40000,12.8,16.8,6,TRUE,0,0,0,FALSE,Franklin
1933,F08029,1VG,0.7762,HWY   BEAVER ST         ,I 495 NB      ,NBI,DOT,42,4,51.2364,71,25,18.4332,11,4,38000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin
1934,F08029,1VH,0.7751,HWY   BEAVER ST         ,I 495 SB    ,NBI,DOT,42,4,50.7756,71,25,19.1532,11,4,38000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin
2068,H23012,20Q,0.7855,I 495                   ,I  90 RAMP ON&OFF ,NBI,DOT,42,15,45.828,71,33,50.9868,11,2,35000,76.2,18.3,6,TRUE,0,0,0,FALSE,Hopkinton
2479,A10011,2DL,0.8027,OTHER REPLACED BY AE2,OTHER REMOVED     ,REM,DOT,42,23,53.25,71,8,39.1776,12,4,75000,43.6,24.9,5,TRUE,9,18,28,FALSE,Arlington
2480,A10021,2DM,0.6578,HWY   LAKE ST           ,ST  2             ,NBI,DOT,42,24,8.7696,71,9,24.444,12,8,78000,52.7,42.7,7,TRUE,20,25,38,FALSE,Arlington
2482,A10023,2DP,0.7211,HWY   DOW AVE           ,ST  2             ,NBI,DOT,42,24,54.4428,71,11,41.1324,12,8,67100,26.2,42.7,6,TRUE,0,0,0,FALSE,Arlington
2483,A10025,2DQ,0.6469,WATER ALEWIFE BROOK     ,ST  2 EB RAMP,NBI,DOT,42,23,52.2024,71,8,35.088,14,2,7500,16.5,12.2,5,TRUE,0,0,0,FALSE,Arlington
2484,C19020,2DR,1,RR    MBTA/BMRR         ,ST  2 CONCORD TPK,NBI,DOT,42,27,28.4868,71,22,54.6276,14,4,49500,22.6,23.5,6,TRUE,0,0,0,FALSE,Concord
2485,C19021,2DT,0.6608,WATER SUDBURY RIVER     ,ST  2 CONCORD TPK,NBI,DOT,42,27,5.7492,71,22,19.002,14,4,70300,26.8,20.1,N,TRUE,0,0,0,TRUE,Concord
2486,C19022,2DU,1,RR    MBTA/BMRR         ,ST  2 CONCORD TPK,NBI,DOT,42,26,42.7164,71,21,4.0608,14,4,56000,21,23.6,6,TRUE,0,0,0,FALSE,Concord
2487,C19007,2DV,0.6839,WATER ASSABET RIVER     ,ST  2 ELM ST,NBI,DOT,42,27,56.826,71,23,30.6672,14,4,76000,23.2,19.8,N,TRUE,0,0,0,FALSE,Concord
2488,L10019,2DW,0.5653,HWY   PLEASANT ST       ,ST  2 WB          ,NBI,DOT,42,25,5.7288,71,12,55.53,12,3,38000,50,20.3,6,TRUE,0,0,0,FALSE,Lexington
2489,L10019,2DX,0.5813,HWY   PLEASANT ST       ,ST  2 EB          ,NBI,DOT,42,25,5.7288,71,12,55.53,12,3,39600,50,20.3,7,TRUE,0,0,0,FALSE,Lexington
2490,L10018,2DY,0.7724,HWY   WALTHAM ST        ,ST  2 EB          ,NBI,DOT,42,25,18.1416,71,13,56.0712,12,3,80000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington
2491,L10018,2.00E+00,0.774,HWY   WALTHAM ST        ,ST  2 WB          ,NBI,DOT,42,25,18.1416,71,13,56.0712,12,3,80000,43.9,21.4,7,TRUE,0,0,0,FALSE,Lexington
2492,L10009,2.00E+01,0.7039,I  95 /ST128            ,ST  2 WB          ,NBI,DOT,42,25,40.422,71,15,32.8104,12,3,39400,99.7,18.3,5,TRUE,0,0,0,FALSE,Lexington
2493,L10009,2.00E+02,0.7248,I  95 /ST128           ,ST  2 EB          ,NBI,DOT,42,25,40.422,71,15,32.8104,12,3,45800,99.7,18.3,5,TRUE,0,0,0,FALSE,Lexington
2495,W04033,2.00E+04,0.631,I  95 /ST128            ,US 20 EB/WESTON ST,NBI,DOT,42,22,11.4384,71,16,11.28,14,2,27900,75.6,15.3,5,TRUE,0,0,0,FALSE,Waltham
2496,W10005,2.00E+05,0.8593,RR    BMRR (ABANDONED)  ,US 20 MAIN ST     ,NBI,DOT,42,22,12.0972,71,11,38.7564,14,2,19700,17.1,18.7,6,TRUE,0,0,0,FALSE,Watertown
2497,W29011,2.00E+06,0.7715,RR    MBTA/BMRR         ,US 20 EB       ,NBI,DOT,42,22,9.0768,71,16,17.058,14,1,23000,42.7,11.1,6,TRUE,0,0,0,FALSE,Weston
2498,W29028,2.00E+07,0.7262,RR    MBTA/BMRR       ,US 20 WB          ,NBI,DOT,42,22,11.4456,71,16,18.7824,14,1,22500,12.2,11.7,6,TRUE,0,0,0,FALSE,Weston
2499,W38034,2.00E+08,0.6797,I  93                   ,ST125 BALLRDVLE ST,NBI,DOT,42,35,2.2668,71,9,28.8216,14,2,27500,97.5,15.2,5,TRUE,0,0,0,FALSE,Wilmington
2501,Q01001,2EA,0.669999921,WATER FORE RIVER        ,ST  3 A/WSHNGTN ST,CLO,DOT,42,14,39.5052,70,58,4.2888,14,4,41000,403.3,23.2,0,TRUE,0,0,0,FALSE,Quincy
2502,N12004,2EB,0.3416,WATER CHARLES RIVER     ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,0.4188,71,13,42.9312,19,6,132000,23.2,49.1,N,TRUE,0,0,0,FALSE,Newton
2503,N12052,2EC,0.3331,HWY   HAMMOND POND PKWY ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,15.6792,71,10,22.656,14,4,49500,39.6,17.7,N,TRUE,0,0,0,FALSE,Newton
2504,N12051,2ED,0.729,HWY   CENTRE ST         ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,8.5152,71,12,24.9624,14,4,54000,29,18.9,5,TRUE,0,0,0,FALSE,Newton
2505,N12040,2EE,0.6525,TR    GREEN LINE D ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,8.4324,71,12,32.8644,14,4,86500,17.1,27.4,5,TRUE,0,0,0,FALSE,Newton
2506,N12049,2EF,0.5377,HWY   CHESTNUT ST       ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,1.236,71,13,35.0292,14,4,59000,17.7,17.7,N,TRUE,0,0,0,FALSE,Newton
2507,N12048,2EG,0.8703,HWY   QUINOBEQUIN RD    ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,0.804,71,13,39.2052,14,4,57000,18,17.7,N,TRUE,0,0,0,FALSE,Newton
2508,N12005,2EH,0.6647,WATER HEMLOCK GORGE     ,ST  9 BOYLSTON ST ,NBI,DOT,42,19,0.6816,71,13,40.3752,14,6,86200,7,56.6,N,TRUE,0,0,0,FALSE,Newton
2509,W13016,2EJ,0.9707,HWY   CLIFF RD          ,ST  9 WORCESTER ST,NBI,DOT,42,18,42.7464,71,16,39.2556,14,4,53600,15.2,23.8,6,TRUE,0,0,0,FALSE,Wellesley
2510,W13013,2EK,0.6655,HWY   WESTON RD         ,ST  9 WORCESTER ST,NBI,DOT,42,18,19.2816,71,18,48.1104,16,4,66900,15.2,28.9,N,TRUE,0,0,0,FALSE,Wellesley
2514,B29007,2EP,0.9573,HWY   MIDDLESEX TPK    ,I  95 NB/ST128 NB ,NBI,DOT,42,28,40.422,71,12,56.4084,12,6,91000,49.2,29.9,5,TRUE,0,0,0,FALSE,Burlington
2515,B29007,2EQ,0.9638,HWY   MIDDLESEX TPK     ,I  95 SB/ST128 SB ,NBI,DOT,42,28,41.0952,71,12,56.6496,11,6,91000,49.2,29.9,5,TRUE,0,0,0,FALSE,Burlington
2516,B29009,2ER,0.5582,HWY   S BEDFORD ST ,I  95 NB/ST128 NB,NBI,DOT,42,29,6.7992,71,11,48.0372,11,4,89500,40.5,20.9,5,TRUE,0,0,0,FALSE,Burlington
2517,B29009,2ET,0.653,HWY   S BEDFORD ST,I  95 SB/ST128 SB,NBI,DOT,42,29,7.3464,71,11,48.8148,11,4,93850,40.5,21.5,5,TRUE,0,0,0,FALSE,Burlington
2518,B29010,2EU,0.5927,ST  3 A/CAMBRIDGE ST    ,I  95 NB/ST128 NB,NBI,DOT,42,29,19.0536,71,11,31.1352,11,4,159900,62.5,22.6,5,TRUE,0,0,0,FALSE,Burlington
2519,B29010,2EV,0.7178,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,NBI,DOT,42,29,19.7664,71,11,31.4808,12,4,159900,62.5,22.6,5,TRUE,0,0,0,FALSE,Burlington
2520,B29011,2EW,0.6703,HWY   WINN ST           ,I  95 NB/ST128 NB,NBI,DOT,42,29,44.7396,71,10,43.2048,16,4,181000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington
2521,B29011,2EX,0.6636,HWY   WINN ST           ,I  95 SB/ST128 SB,NBI,DOT,42,29,45.3912,71,10,43.5504,16,4,181000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington
2522,L10011,2EY,0.5668,HWY   LINCOLN ST        ,I  95 /ST128     ,NBI,DOT,42,26,8.0808,71,15,35.8956,11,8,183000,41.8,43,5,TRUE,0,0,0,FALSE,Lexington
2523,R03008,2F0,0.7425,ST 28 MAIN ST           ,I  95 /ST128     ,NBI,DOT,42,30,12.8448,71,6,9.5688,12,8,153200,28,46.4,5,TRUE,0,0,0,FALSE,Reading
2524,W04029,2F1,0.695,WATER STONY BROOK       ,I  95 /ST128     ,NBI,DOT,42,21,49.0464,71,16,15.1788,11,8,172230,8.8,43.3,N,TRUE,0,0,0,FALSE,Waltham
2525,W04026,2F2,0.9512,RR    MBTA/BMRR       ,I  95 /ST128,NBI,DOT,42,22,2.7732,71,16,12.8028,12,9,187000,69.2,45.5,4,TRUE,0,0,0,TRUE,Waltham
2526,W29024,2F3,0.8115,OTHER MDC AQUEDUCT      ,I  95 /ST128,NBI,DOT,42,20,46.122,71,15,47.0376,11,8,169500,12.5,47.5,7,TRUE,0,0,0,FALSE,Weston
2527,W29018,2F4,0.6476,HWY   NORUMBEGA RD      ,I  95 /ST128     ,NBI,DOT,42,20,41.8812,71,15,48.5676,12,9,170000,16.2,38.1,6,TRUE,0,0,0,FALSE,Weston
2529,W43031,2F6,0.6838,ST 38 WB/MAIN ST        ,I  95 NB/ST128 NB ,NBI,DOT,42,29,57.6492,71,9,23.904,11,4,164000,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn
2530,W43031,2F7,0.9997,ST 38 WB/MAIN ST        ,I  95 SB/ST128 SB ,NBI,DOT,42,29,58.3404,71,9,24.0084,11,4,160000,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn
2531,W43022,2F8,0.7087,ST 38 EB/MAIN ST        ,I  95 NB/ST128 NB ,NBI,DOT,42,29,56.7672,71,9,31.1328,11,4,178000,37.5,26.8,5,TRUE,0,0,0,FALSE,Woburn
2532,W43022,2F9,0.7199,ST 38 EB/MAIN ST        ,I  95 SB/ST128 SB ,NBI,DOT,42,29,57.4764,71,9,31.0788,11,4,178000,37.5,20.7,5,TRUE,0,0,0,FALSE,Woburn
2533,W43024,2FA,0.8172,HWY   FOREST PARK RD    ,I  95 NB/ST128 NB ,NBI,DOT,42,30,1.5372,71,8,56.0328,11,4,177500,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn
2534,W43024,2FB,0.6857,HWY   FOREST PARK RD    ,I  95 SB/ST128 SB ,NBI,DOT,42,30,2.2032,71,8,56.3028,11,4,177500,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn
2535,W43026,2FC,0.514,RR    MBTA/BMRR       ,I  95 /ST128     ,NBI,DOT,42,30,6.7032,71,8,12.6528,11,8,180400,37.8,44.9,5,TRUE,0,0,0,FALSE,Woburn
2536,L19011,2FD,0.9803,HWY   MAIN ST           ,I  95 /ST128     ,NBI,DOT,42,31,33.24,71,3,59.9292,11,8,126000,15.2,54.4,N,TRUE,0,0,0,FALSE,Lynnfield
2537,W01013,2FE,0.8169,RR    BMRR/MBTA         ,I  95 /ST128     ,NBI,DOT,42,31,21.6048,71,3,32.4612,11,6,134400,7.3,47.7,N,TRUE,0,0,0,FALSE,Wakefield
2538,W01020,2FF,0.7349,HWY   PARKER RD         ,I  95 /ST128     ,NBI,DOT,42,30,37.0584,71,5,34.4148,11,6,133500,18,45.1,5,TRUE,0,0,0,FALSE,Wakefield
2539,W01019,2FG,0.9697,RR    MBTA/BMRR         ,I  95 /ST128     ,NBI,DOT,42,30,51.2856,71,5,27.7728,16,6,135900,19.8,46.1,5,TRUE,0,0,0,FALSE,Wakefield
2540,W01018,2FH,0.901,HWY   NORTH AVE         ,I  95 /ST128     ,NBI,DOT,42,30,59.886,71,5,23.6292,11,6,138400,22.3,45.1,6,TRUE,0,0,0,FALSE,Wakefield
2541,W01008,2FJ,0.971,HWY   PLEASURE ISLAND RD,I  95 /ST128     ,NBI,DOT,42,30,47.4444,71,2,30.2208,11,6,135000,15.8,34.1,N,TRUE,0,0,0,FALSE,Wakefield
2542,W01016,2FK,0.776,ST129 EB LOWELL ST,I  95 /ST128     ,NBI,DOT,42,31,28.1352,71,4,56.3664,11,8,136400,22.6,46.9,5,TRUE,0,0,0,FALSE,Wakefield
2543,W01015,2FL,0.7593,ST129 WB  MAIN ST,I  95 /ST128     ,NBI,DOT,42,31,32.3328,71,4,48.3564,11,6,136000,20.4,46.9,5,TRUE,0,0,0,FALSE,Wakefield
2544,N12059,2FM,0.5567,HWY   QUINOBEQUIN RD    ,I  95 ST128     ,NBI,DOT,42,19,32.9124,71,15,2.0628,11,10,160000,29,44.6,5,TRUE,0,0,0,FALSE,Newton
2545,N12054,2FN,0.7957,WATER CHARLES RIVER     ,I  95 /ST128     ,NBI,DOT,42,19,24.546,71,14,59.0928,11,8,170200,55.8,45.4,6,TRUE,0,0,0,FALSE,Newton
2546,N12063,2FP,0.677,WATER CHARLES RIVER     ,I  95 /ST128     ,NBI,DOT,42,20,11.958,71,15,32.9256,11,8,160000,38.1,44.5,6,TRUE,0,0,0,FALSE,Newton
2547,W13023,2FQ,0.9414,ST  9 WORCESTER ST      ,I  95 NB/ST128 NB,NBI,DOT,42,18,59.3496,71,14,3.2352,11,5,87200,43.9,22.4,4,TRUE,0,0,0,TRUE,Wellesley
2551,B04011,2FV,0.777,ST 62 BURLINGTON RD     ,US  3 SB          ,REM,DOT,42,30,7.0596,71,14,37.2012,12,2,59900,16.8,13.4,N,TRUE,0,0,0,FALSE,Bedford
2552,B04011,2FW,0.7464,ST 62 BURLINGTON RD     ,US  3 NB          ,REM,DOT,42,30,7.0596,71,14,37.2012,12,2,59900,16.8,13.4,N,TRUE,0,0,0,FALSE,Bedford
2553,B04012,2FX,0.9423,WATER SHAWSHEEN RIVER   ,US  3 SB          ,REM,DOT,42,30,32.562,71,15,2.9556,12,2,59900,20.4,13.3,7,TRUE,0,0,0,FALSE,Bedford
2554,B04012,2FY,0.9424,WATER SHAWSHEEN RIVER   ,US  3 NB          ,REM,DOT,42,30,32.5728,71,15,2.97,12,2,59000,20.4,13.3,6,TRUE,0,0,0,FALSE,Bedford
2557,B29006,2G2,0.6763,I  95 /ST128 & CD      ,US  3 SB          ,NBI,DOT,42,28,35.4792,71,13,13.8576,12,2,35000,86.6,13.9,6,TRUE,0,0,0,FALSE,Burlington
2558,B29006,2G3,0.7348,I  95 /ST128 & CD      ,US  3 NB          ,NBI,DOT,42,28,35.4792,71,13,13.8576,12,1,28000,86.6,13.9,7,TRUE,0,0,0,FALSE,Burlington
2580,C19018,2GR,0.7201,WATER NASHOBA BROOK     ,ST  2             ,NBI,DOT,42,28,8.868,71,24,26.3988,14,4,47300,8.5,30.5,7,TRUE,20,23,40,FALSE,Concord
2581,Q01049,2GT,0.7632,RR    CSX SPUR TO LEDGER,ST  3 RPS CC&C&X&Y,NBI,DOT,42,31,36,71,1,12,14,8,24500,22.6,59.4,7,TRUE,0,0,0,FALSE,Quincy
2582,Q01051,2GU,0.922,OTHER RELIEF            ,ST  3 RAMP Y @ T  ,NBI,DOT,42,31,36,71,1,12,14,2,7100,150.3,9.5,7,TRUE,0,0,0,FALSE,Quincy
2583,Q01051,2GV,0.6762,HWY   RAMPS C & CC      ,ST  3 RAMP X @ T  ,NBI,DOT,42,31,36,71,1,12,14,1,5000,194.5,7.7,6,TRUE,0,0,0,FALSE,Quincy
2604,M12035,2HH,0.9998,ST 28 FELLSWAY WST      ,I  93 NB          ,NBI,DOT,42,26,54.4524,71,6,17.8632,11,5,169000,27.1,25.1,6,TRUE,0,0,0,FALSE,Medford
2605,M12035,2HJ,0.7446,ST 28 FELLSWAY WST      ,I  93 SB          ,NBI,DOT,42,26,55.068,71,6,18.6372,11,5,169000,27.1,25,6,TRUE,0,0,0,FALSE,Medford
2606,R03011,2HK,0.5661,I  95 /ST128           ,I  93             ,NBI,DOT,42,30,7.902,71,7,8.6556,11,8,168800,75.6,52.5,6,TRUE,0,0,0,FALSE,Reading
2607,R03010,2HL,0.728,HWY   WEST ST           ,I  93             ,NBI,DOT,42,30,32.742,71,7,25.9284,11,8,155000,48.2,47.2,7,TRUE,0,0,0,FALSE,Reading
2608,S27004,2HM,0.6237,RR    BMRR SPUR (ABAND) ,I  93             ,NBI,DOT,42,28,42.5712,71,6,51.7608,11,8,171000,9.4,49.7,6,TRUE,0,0,0,FALSE,Stoneham
2609,S27007,2HN,0.8946,HWY   BORDER RD ACCESS  ,I  93             ,NBI,DOT,42,28,8.0436,71,6,27.0396,11,8,183000,39,50.6,5,TRUE,0,0,0,FALSE,Stoneham
2612,W38028,2HR,0.4584,RR    MBTA/BMRR       ,I  93 NB          ,NBI,DOT,42,32,27.8052,71,8,7.4472,11,5,67200,29,22.6,5,TRUE,0,0,0,FALSE,Wilmington
2613,W38028,2HT,0.4676,RR    MBTA/BMRR         ,I  93 SB          ,NBI,DOT,42,32,28.8096,71,8,8.3976,11,4,67200,28,22.6,5,TRUE,0,0,0,FALSE,Wilmington
2614,W38026,2HU,0.6458,WATER IPSWICH RIVER     ,I  93 NB          ,NBI,DOT,42,33,9.27,71,8,16.926,11,4,135000,12.5,24.4,5,TRUE,0,0,0,FALSE,Wilmington
