OBJECTID,AllBridges_2014April_BDEPT,AllBridges_2014April_BIN,AllBridges_2014April_Health_Index,AllBridges_2014April_Item_6A,AllBridges_2014April_Item_7,AllBridges_2014April_Item_8_Bridge_Cat,AllBridges_2014April_Item_8_Owner,AllBridges_2014April_Item_16A,AllBridges_2014April_Item_16B,AllBridges_2014April_Item_16C,AllBridges_2014April_Item__17A,AllBridges_2014April_Item__17B,AllBridges_2014April_Item__17C,AllBridges_2014April_Item_26,AllBridges_2014April_Item_28A,AllBridges_2014April_Item_29,AllBridges_2014April_Item_49,AllBridges_2014April_Item_52,AllBridges_2014April_Item_58,AllBridges_2014April_Item_104,AllBridges_2014April_Posting_2_Axle,AllBridges_2014April_Posting_3_Axle,AllBridges_2014April_Posting_5_Axle,AllBridges_2014April_Struct_Def,AllBridges_2014April_Town_Name,AllBridges_2014April_RPA
41,M21020,1UL,0.7547,ST 85 CEDAR ST,I 495 SB,NBI,DOT,42,9,58.3308,71,30,31.4778,11,3,65000,32.9,17.4,5,True,0,0,0,False,Milford,MAPC
42,M21018,1UM,0.7849,HWY   HAVEN ST,I 495 NB,NBI,DOT,42,10,53.49,71,31,40.0043,11,3,40000,26.2,17.1,5,True,0,0,0,False,Milford,MAPC
43,M21018,1UN,0.7859,HWY   HAVEN ST,I 495 SB,NBI,DOT,42,10,49.8462,71,31,43.0572,11,3,40000,27.1,17.1,6,True,0,0,0,False,Milford,MAPC
44,H23008,1UP,0.6236,I  90,I 495 SB,NBI,DOT,42,15,59.9868,71,33,52.3979,11,3,80000,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
45,H23011,1UQ,0.7858,HWY   W MAIN ST,I 495 NB,NBI,DOT,42,12,51.9372,71,32,44.7684,11,4,98909,42.7,18.1,5,True,0,0,0,False,Hopkinton,MAPC
46,H23011,1UR,0.7354,HWY   W MAIN ST,I 495 SB,NBI,DOT,42,12,50.097,71,32,47.4324,11,4,98909,40.5,18.1,5,True,0,0,0,False,Hopkinton,MAPC
47,H23010,1UT,0.9943,ST135 WOOD ST,I 495 NB,NBI,DOT,42,13,47.2367,71,32,59.9855,11,3,50000,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
48,H23010,1UU,0.972,ST135 WOOD ST,I 495 SB,NBI,DOT,42,13,48.0252,71,33,4.0139,11,3,50000,18.6,16.9,6,True,0,0,0,False,Hopkinton,MAPC
49,H23008,1UV,0.5774,I  90,I 495 NB,NBI,DOT,42,16,0.858,71,33,50.7852,11,3,80000,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
50,L13025,1UW,0.6704,WATER MILL POND,I 495,NBI,DOT,42,32,4.686,71,29,49.6463,11,6,100000,10.7,0,N,True,0,0,0,False,Littleton,MAPC
51,B15004,1V2,0.954,HWY   S BOLTON RD,I 495 NB,NBI,DOT,42,24,56.7863,71,36,18.4751,1,3,47000,36.6,17.4,6,True,0,0,0,False,Bolton,MAPC
52,B15004,1V3,0.9408,HWY   S BOLTON RD,I 495 SB,NBI,DOT,42,24,58.9896,71,36,20.649,1,3,51800,45.1,17.4,5,True,0,0,0,False,Bolton,MAPC
53,B15002,1V4,0.8864,ST117 MAIN ST,I 495 NB,NBI,DOT,42,25,50.8074,71,35,32.9748,11,4,98000,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
54,B15002,1V5,0.8976,ST117 MAIN ST,I 495 SB,NBI,DOT,42,25,51.1896,71,35,35.2068,1,4,98000,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
55,F08021,1V8,0.9509,RR    CSX,I 495 SB,NBI,DOT,42,4,20.8344,71,24,44.9315,11,3,69400,34.1,16.7,6,True,0,0,0,False,Franklin,MAPC
56,F08021,1V9,0.966,RR    CSX,I 495 NB,NBI,DOT,42,4,21.7086,71,24,43.6746,12,3,69400,34.1,16.7,5,True,0,0,0,True,Franklin,MAPC
57,F08023,1VA,0.9954,HWY   KING ST,I 495 NB,NBI,DOT,42,3,54.201,71,24,3.2574,11,4,40000,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
58,F08023,1VB,0.9955,HWY   KING ST,I 495 SB,NBI,DOT,42,3,52.743,71,24,4.6224,11,3,45000,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
59,F08024,1VC,0.7277,HWY   SUMMER ST,I 495 NB,NBI,DOT,42,3,30.2544,71,23,1.8492,11,4,38000,28.3,16.6,7,True,0,0,0,False,Franklin,MAPC
60,F08024,1VD,0.8891,HWY   SUMMER ST,I 495 SB,NBI,DOT,42,3,27.4031,71,23,1.4315,11,4,36450,29,16.6,7,True,0,0,0,False,Franklin,MAPC
61,F08027,1VE,0.8281,RR    MBTA/CSX,I 495 NB,NBI,DOT,42,5,14.7732,71,25,29.226,11,4,36500,12.8,16.8,5,True,0,0,0,False,Franklin,MAPC
62,F08027,1VF,0.8521,RR    MBTA/CSX,I 495 SB,NBI,DOT,42,5,14.9136,71,25,31.35,11,4,36500,12.8,16.8,5,True,0,0,0,False,Franklin,MAPC
63,F08029,1VG,0.7762,HWY   BEAVER ST,I 495 NB,NBI,DOT,42,4,52.2624,71,25,16.9248,11,4,38000,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
64,F08029,1VH,0.7642,HWY   BEAVER ST,I 495 SB,NBI,DOT,42,4,51.1278,71,25,18.4506,11,4,38000,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
