OBJECTID,allbridgesAug07_BDEPT,allbridgesAug07_BIN,allbridgesAug07_Health_Index,allbridgesAug07_Item_6A,allbridgesAug07_Item_7,allbridgesAug07_Item_8_Bridge_Cat,allbridgesAug07_Item_8_Owner,allbridgesAug07_Item_16A,allbridgesAug07_Item_16B,allbridgesAug07_Item_16C,allbridgesAug07_Item_17A,allbridgesAug07_Item_17B,allbridgesAug07_Item_17C,allbridgesAug07_Item_26,allbridgesAug07_Item_28A,allbridgesAug07_Item_29,allbridgesAug07_Item_49,allbridgesAug07_Item_52,allbridgesAug07_Item_58,allbridgesAug07_Item_104,allbridgesAug07_Posting_2_Axle,allbridgesAug07_Posting_3_Axle,allbridgesAug07_Posting_5_Axle,allbridgesAug07_Struct_Def,allbridgesAug07_Town_Name
2499,W29028,2.00E+07,0.7262,RR    MBTA/BMRR,US 20 WB,NBI,MHD,42,22,11.4456,71,16,18.7824,14,1,21400,12.2,11.7,6,TRUE,0,0,0,FALSE,Weston
2500,W38034,2.00E+08,0.6797,I  93,ST125 BALLRDVLE ST,NBI,MHD,42,35,2.2668,71,9,28.8216,14,2,26500,97.5,15.2,5,TRUE,0,0,0,FALSE,Wilmington
2502,Q01001,2EA,0.669999921,WATER FORE RIVER,ST  3 A/WSHNGTN ST,CLO,MHD,42,14,39.5052,70,58,4.2888,14,4,41000,403.3,23.2,0,TRUE,0,0,0,FALSE,Quincy
2503,N12004,2EB,0.3416,WATER CHARLES RIVER,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.4188,71,13,42.9312,19,6,131000,23.2,49.1,N,TRUE,0,0,0,FALSE,Newton
2504,N12052,2EC,0.3331,HWY   HAMMOND POND PKWY,ST  9 BOYLSTON ST,NBI,MHD,42,19,15.6792,71,10,22.656,14,4,48700,39.6,17.7,N,TRUE,0,0,0,FALSE,Newton
2505,N12051,2ED,0.7455,HWY   CENTRE ST,ST  9 BOYLSTON ST,NBI,MHD,42,19,8.5152,71,12,24.9624,14,4,53000,29,18.9,6,TRUE,0,0,0,FALSE,Newton
2506,N12040,2EE,0.6525,TR    GREEN LINE D,ST  9 BOYLSTON ST,NBI,MHD,42,19,8.4324,71,12,32.8644,14,4,105000,17.1,27.4,5,TRUE,0,0,0,FALSE,Newton
2507,N12049,2EF,0.5377,HWY   CHESTNUT ST,ST  9 BOYLSTON ST,NBI,MHD,42,19,1.236,71,13,35.0292,14,4,57200,17.7,17.7,N,TRUE,0,0,0,FALSE,Newton
2508,N12048,2EG,0.8703,HWY   QUINOBEQUIN RD,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.804,71,13,39.2052,14,4,55800,18,17.7,N,TRUE,0,0,0,FALSE,Newton
2509,N12005,2EH,0.6647,WATER HEMLOCK GORGE,ST  9 BOYLSTON ST,NBI,MHD,42,19,0.6816,71,13,40.3752,14,6,85000,7,56.6,N,TRUE,0,0,0,FALSE,Newton
2510,W13016,2EJ,0.9707,HWY   CLIFF RD,ST  9 WORCESTER ST,NBI,MHD,42,18,42.7464,71,16,39.2556,14,4,53700,15.2,23.8,7,TRUE,0,0,0,FALSE,Wellesley
2511,W13013,2EK,0.8504,HWY   WESTON RD,ST  9 WORCESTER ST,NBI,MHD,42,18,19.2816,71,18,48.1104,16,4,66500,15.2,28.9,N,TRUE,0,0,0,FALSE,Wellesley
2515,B29007,2EP,0.9573,HWY   MIDDLESEX TPK,I  95 NB/ST128 NB,NBI,MHD,42,28,40.422,71,12,56.4084,12,6,86000,49.1,32,5,TRUE,0,0,0,FALSE,Burlington
2516,B29007,2EQ,0.9638,HWY   MIDDLESEX TPK,I  95 SB/ST128 SB,NBI,MHD,42,28,41.0952,71,12,56.6496,11,6,86000,49.1,32,6,TRUE,0,0,0,FALSE,Burlington
2517,B29009,2ER,0.4167,HWY   S BEDFORD ST,I  95 NB/ST128 NB,NBI,MHD,42,29,6.7992,71,11,48.0372,11,4,178300,40.5,20.9,N,TRUE,0,0,0,FALSE,Burlington
2518,B29009,2ET,0.6866,HWY   S BEDFORD ST,I  95 SB/ST128 SB,NBI,MHD,42,29,7.3464,71,11,48.8148,11,4,178300,40.5,21.5,N,TRUE,0,0,0,FALSE,Burlington
2519,B29010,2EU,0.6828,ST  3 A/CAMBRIDGE ST,I  95 NB/ST128 NB,NBI,MHD,42,29,19.0536,71,11,31.1352,11,4,172230,62.5,22.6,6,TRUE,0,0,0,FALSE,Burlington
2520,B29010,2EV,0.7169,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,NBI,MHD,42,29,19.7664,71,11,31.4808,12,4,172230,62.5,22.6,6,TRUE,0,0,0,FALSE,Burlington
2521,B29011,2EW,0.657,HWY   WINN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,44.7396,71,10,43.2048,16,4,179000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington
2522,B29011,2EX,0.6636,HWY   WINN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,45.3912,71,10,43.5504,16,4,179000,18.3,24.7,N,TRUE,0,0,0,FALSE,Burlington
2523,L10011,2EY,0.6755,HWY   LINCOLN ST,I  95 /ST128,NBI,MHD,42,26,8.0808,71,15,35.8956,11,8,177800,41.8,43,5,TRUE,0,0,0,FALSE,Lexington
2524,R03008,2F0,0.7425,ST 28 MAIN ST,I  95 /ST128,NBI,MHD,42,30,12.8448,71,6,9.5688,12,8,153000,28,46.4,6,TRUE,0,0,0,FALSE,Reading
2525,W04029,2F1,0.670000076,WATER STONY BROOK,I  95 /ST128,NBI,MHD,42,21,49.0464,71,16,15.1788,11,8,180200,8.8,43.3,N,TRUE,0,0,0,FALSE,Waltham
2526,W04026,2F2,0.9736,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,22,2.7732,71,16,12.8028,12,9,185000,69.2,45.5,5,TRUE,0,0,0,FALSE,Waltham
2527,W29024,2F3,0.9163,OTHER MDC AQUEDUCT,I  95 /ST128,NBI,MHD,42,20,46.122,71,15,47.0376,11,8,168000,12.5,47.5,7,TRUE,0,0,0,FALSE,Weston
2528,W29018,2F4,0.6474,HWY   NORUMBEGA RD,I  95 /ST128,NBI,MHD,42,20,41.8812,71,15,48.5676,12,9,168000,16.2,38.1,6,TRUE,0,0,0,FALSE,Weston
2530,W43031,2F6,0.6815,ST 38 WB/MAIN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,57.6492,71,9,23.904,11,4,161400,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn
2531,W43031,2F7,0.6817,ST 38 WB/MAIN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,58.3404,71,9,24.0084,11,4,161400,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn
2532,W43022,2F8,0.7056,ST 38 EB/MAIN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,56.7672,71,9,31.1328,11,4,175700,37.5,26.8,6,TRUE,0,0,0,FALSE,Woburn
2533,W43022,2F9,0.7199,ST 38 EB/MAIN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,57.4764,71,9,31.0788,11,4,175700,37.5,20.7,6,TRUE,0,0,0,FALSE,Woburn
2534,W43024,2FA,0.8131,HWY   FOREST PARK RD,I  95 NB/ST128 NB,NBI,MHD,42,30,1.5372,71,8,56.0328,11,4,177000,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn
2535,W43024,2FB,0.6857,HWY   FOREST PARK RD,I  95 SB/ST128 SB,NBI,MHD,42,30,2.2032,71,8,56.3028,11,4,177000,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn
2536,W43026,2FC,0.5116,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,30,6.7032,71,8,12.6528,11,8,175000,37.8,44.9,5,TRUE,0,0,0,FALSE,Woburn
2537,L19011,2FD,0.9803,HWY   MAIN ST,I  95 /ST128,NBI,MHD,42,31,33.24,71,3,59.9292,11,8,126000,15.2,54.4,N,TRUE,0,0,0,FALSE,Lynnfield
2538,W01013,2FE,0.6292,RR    BMRR/MBTA,I  95 /ST128,NBI,MHD,42,31,21.6048,71,3,32.4612,11,6,134700,7.3,47.7,N,TRUE,0,0,0,FALSE,Wakefield
2539,W01020,2FF,0.7438,HWY   PARKER RD,I  95 /ST128,NBI,MHD,42,30,37.0584,71,5,34.4148,11,6,132700,18,45.1,7,TRUE,0,0,0,FALSE,Wakefield
2540,W01019,2FG,0.9103,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,30,51.2856,71,5,27.7728,16,6,134700,19.8,46.1,6,TRUE,0,0,0,FALSE,Wakefield
2541,W01018,2FH,0.9015,HWY   NORTH AVE,I  95 /ST128,NBI,MHD,42,30,59.886,71,5,23.6292,11,6,133000,22.3,45.1,6,TRUE,0,0,0,FALSE,Wakefield
2542,W01008,2FJ,0.988,HWY   PLEASURE ISLAND RD,I  95 /ST128,NBI,MHD,42,30,47.4444,71,2,30.2208,11,6,132700,15.8,34.1,N,TRUE,0,0,0,FALSE,Wakefield
2543,W01016,2FK,0.7658,ST129 EB LOWELL ST,I  95 /ST128,NBI,MHD,42,31,28.1352,71,4,56.3664,11,8,135200,22.6,46.9,5,TRUE,0,0,0,FALSE,Wakefield
2544,W01015,2FL,0.7593,ST129 WB  MAIN ST,I  95 /ST128,NBI,MHD,42,31,32.3328,71,4,48.3564,11,6,135200,20.4,46.9,5,TRUE,0,0,0,FALSE,Wakefield
2545,N12059,2FM,0.5567,HWY   QUINOBEQUIN RD,I  95 ST128,NBI,MHD,42,19,32.9124,71,15,2.0628,11,10,158200,29,44.6,6,TRUE,0,0,0,FALSE,Newton
2546,N12054,2FN,0.8065,WATER CHARLES RIVER,I  95 /ST128,NBI,MHD,42,19,24.546,71,14,59.0928,11,8,170000,55.8,45.4,6,TRUE,0,0,0,FALSE,Newton
2547,N12063,2FP,0.7155,WATER CHARLES RIVER,I  95 /ST128,NBI,MHD,42,20,11.958,71,15,32.9256,11,8,160000,38.1,44.5,6,TRUE,0,0,0,FALSE,Newton
2548,W13023,2FQ,0.9492,ST  9 WORCESTER ST,I  95 NB/ST128 NB,NBI,MHD,42,18,59.3496,71,14,3.2352,11,5,86000,43.9,22.4,5,TRUE,0,0,0,FALSE,Wellesley
2552,B04011,2FV,0.777,ST 62 BURLINGTON RD,US  3 SB,REM,MHD,42,30,7.0596,71,14,37.2012,12,2,59900,16.8,13.4,N,TRUE,0,0,0,FALSE,Bedford
2553,B04011,2FW,0.7464,ST 62 BURLINGTON RD,US  3 NB,REM,MHD,42,30,7.0596,71,14,37.2012,12,2,59900,16.8,13.4,N,TRUE,0,0,0,FALSE,Bedford
2554,B04012,2FX,0.9423,WATER SHAWSHEEN RIVER,US  3 SB,REM,MHD,42,30,32.562,71,15,2.9556,12,2,59900,20.4,13.3,7,TRUE,0,0,0,FALSE,Bedford
2555,B04012,2FY,0.9424,WATER SHAWSHEEN RIVER,US  3 NB,REM,MHD,42,30,32.5728,71,15,2.97,12,2,59000,20.4,13.3,6,TRUE,0,0,0,FALSE,Bedford
2558,B29006,2G2,0.6759,I  95 /ST128 & CD,US  3 SB,NBI,MHD,42,28,35.4792,71,13,13.8576,12,2,84100,86.6,14.1,7,TRUE,0,0,0,FALSE,Burlington
2559,B29006,2G3,0.730200861,I  95 /ST128 & CD,US  3 NB,NBI,MHD,42,28,35.4792,71,13,13.8576,12,1,84100,86.6,14.1,7,TRUE,0,0,0,FALSE,Burlington
2581,C19018,2GR,0.7201,WATER NASHOBA BROOK,ST  2,NBI,MHD,42,28,8.868,71,24,26.3988,14,4,59600,8.5,30.5,7,TRUE,20,23,40,FALSE,Concord
2582,Q01049,2GT,0.9143,RR    CSX SPUR TO LEDGER,ST  3 RPS CC&C&X&Y,NBI,MHD,42,31,36,71,1,12,14,8,23600,22.6,59.4,7,TRUE,0,0,0,FALSE,Quincy
2583,Q01051,2GU,0.7287,OTHER RELIEF,ST  3 RAMP Y @ T,NBI,MHD,42,31,36,71,1,12,14,2,5500,150.3,9.5,7,TRUE,0,0,0,FALSE,Quincy
2584,Q01051,2GV,0.7238,HWY   RAMPS C & CC,ST  3 RAMP X @ T,NBI,MHD,42,31,36,71,1,12,14,1,4400,194.5,7.7,7,TRUE,0,0,0,FALSE,Quincy
2605,M12035,2HH,0.9998,ST 28 FELLSWAY WST,I  93 NB,NBI,MHD,42,26,54.4524,71,6,17.8632,11,5,169000,27.1,25.1,6,TRUE,0,0,0,FALSE,Medford
