OBJECTID,City_num,RPA,Town_Name,All_Injuries_2004,All_Injuries_2005,All_Injuries_2006,All_Injuries_2007,All_Injuries_2008,All_Injuries_2009,All_Injuries_2010,All_Injuries_2011,All_Injuries_2012,All_Injuries_2013,All_Fatalities_2004,All_Fatalities_2005,All_Fatalities_2006,All_Fatalities_2007,All_Fatalities_2008,All_Fatalities_2009,All_Fatalities_2010,All_Fatalities_2011,All_Fatalities_2012,All_Fatalities_2013
20,71,MAPC,Danvers,326,430,399,347,331,272,269,219,291,234,0,0,2,2,2,5,0,3,2,1
21,73,MAPC,Dedham,247,199,267,229,206,192,180,186,228,205,1,0,0,1,0,1,0,0,1,0
22,78,MAPC,Dover,31,43,33,16,35,18,33,28,25,28,1,0,2,2,0,0,1,0,0,0
23,82,MAPC,Duxbury,32,103,47,93,79,34,78,86,71,72,1,0,1,1,0,0,0,1,0,0
24,92,MAPC,Essex,17,30,28,19,21,12,22,16,13,12,0,0,0,0,0,0,0,0,0,0
25,93,MAPC,Everett,358,419,334,299,232,187,158,141,147,177,1,0,2,0,2,0,0,0,3,1
26,99,MAPC,Foxborough,162,174,134,146,166,161,74,157,128,143,4,2,2,3,2,1,0,1,4,1
27,100,MAPC,Framingham,730,887,753,669,747,776,686,595,482,575,1,6,1,2,0,1,5,5,4,1
28,101,MAPC,Franklin,159,161,151,163,143,124,96,144,125,127,1,1,1,2,3,1,0,1,2,3
29,107,MAPC,Gloucester,120,111,78,74,74,47,74,39,50,52,5,2,0,0,1,0,0,0,4,0
30,119,MAPC,Hamilton,15,23,18,18,11,12,21,12,16,24,1,0,0,0,0,0,0,0,0,0
31,122,MAPC,Hanover,136,135,126,140,156,112,137,110,99,99,3,2,0,1,2,1,0,2,1,1
32,131,MAPC,Hingham,214,169,207,198,146,153,145,134,143,134,2,2,2,1,4,0,0,2,1,1
33,133,MAPC,Holbrook,83,104,93,70,71,88,92,72,95,71,0,0,1,1,0,1,0,2,0,0
34,136,MAPC,Holliston,90,89,82,100,84,82,74,81,105,61,0,1,1,0,0,0,0,1,0,0
35,139,MAPC,Hopkinton,118,178,137,152,137,73,125,104,109,104,2,2,3,0,0,3,0,1,1,4
