TOWN_ID,TOWN,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,CITY_AVG,CITY_TOTAL
71,DANVERS,1.952795168,10.07199812,12.42288291,9.410831585,4.741150355,3.580999984,2.794899272,42.18065812
73,DEDHAM,11.89604189,3.936915343,7.445052303,4.914600352,3.318064525,3.594966935,2.052135336,35.10564135
78,DOVER,0,0,0,0.079281297,0,1.227834693,4.189346395,1.30711599
82,DUXBURY,0,1.212455662,5.885008329,13.15179922,7.034819427,12.32097638,3.537344916,39.60505902
92,ESSEX,0,0,0,0,0,0.707752369,4.25,0.707752369
93,EVERETT,0.451743824,7.565235391,4.94926825,4.876474578,1.054361656,0.352122471,2.59958136,19.24920617
99,FOXBOROUGH,1.755450362,1.826536977,4.27055526,3.474841263,2.569280019,2.857124264,2.892952495,16.75378815
100,FRAMINGHAM,9.537989711,9.192868193,10.63269675,7.657717304,4.075760261,7.157501443,2.449857181,48.25453366
101,FRANKLIN,1.463750913,5.605871686,4.86147559,2.780905437,1.604979791,0,2.429212381,16.31698342
107,GLOUCESTER,0.543158901,6.020137389,1.946286091,3.635077125,5.657906622,13.35408516,3.439990163,31.15665129
115,GROTON,0,0,0.000877607,0,0,0,2.75,0.000877607
119,HAMILTON,0.031605051,0.189039646,0.600808585,1.583954034,0.308237177,0.401877553,3.223223067,3.115522046
122,HANOVER,0.792547787,6.272836062,3.748667473,4.958985161,3.03352583,0.175988668,2.69167633,18.98255098
123,HANSON,0,0.0090747,0,0,0,0,2,0.0090747
125,HARVARD,0,0,0,0,0,0.012021301,4.25,0.012021301
131,HINGHAM,0.129130386,3.91623372,8.901718695,7.533696603,0.620224838,0.026371637,2.803690849,21.12737588
133,HOLBROOK,0,3.719227794,2.986370108,3.690518944,1.926759235,0.439125181,2.87860723,12.76200126
136,HOLLISTON,0,2.66827948,6.694839371,4.053531611,2.281625158,0,2.896970369,15.69827562
139,HOPKINTON,0,4.569373248,2.803710332,0.451798313,0,0,2.34090363,7.824881893
141,HUDSON,0.391601012,3.636188826,4.627653409,2.554053416,1.096063157,1.1380701,2.770541373,13.44362992
144,IPSWICH,0.050802343,3.648088258,3.615440262,1.234604118,0.396021632,0.197839212,2.578751494,9.142795825
155,LEXINGTON,6.781385261,6.021730695,13.89908689,4.941197435,5.126106516,18.19666921,2.963342139,54.96617601
157,LINCOLN,3.373210141,4.30967614,3.186847172,5.847534453,1.848331444,7.434924123,2.881378119,26.00052347
158,LITTLETON,3.337743238,8.414425726,8.070296633,3.989618833,3.233599519,6.939480196,2.754355313,33.98516415
163,LYNN,2.650175194,18.5265236,12.85448335,3.191604997,4.828972932,0,2.399049195,42.05176007
164,LYNNFIELD,0.648172416,2.349333143,1.769643185,3.098099696,0.716638477,0,2.600990151,8.581886917
165,MALDEN,1.506364752,12.80691275,6.200042418,2.564389691,0,0,2.209847056,23.07770961
166,MANCHESTER,0,0,0,0.603608287,2.791918882,10.78610744,4.109003015,14.18163461
168,MARBLEHEAD,0.18562129,4.123324172,3.508640675,3.181144852,0.584898599,0.573883511,2.703390518,12.1575131
170,MARLBOROUGH,3.509738543,13.19392719,7.419696032,2.713495844,1.007583389,1.621670929,2.249411775,29.46611193
171,MARSHFIELD,0,1.124073411,4.291074448,8.078935165,7.062116227,4.270611026,3.421227802,24.82681028
174,MAYNARD,0,6.700140408,3.219397687,2.204514586,0.430042075,0,2.471779546,12.55409476
175,MEDFIELD,0,2.804109538,6.190879328,4.53827974,3.741194013,0,2.976186586,17.27446262
176,MEDFORD,5.922521956,10.9159195,8.637699315,9.14015256,1.74052297,0.02287562,2.251673561,36.37969192
177,MEDWAY,0,4.066943292,3.19601068,5.871135643,2.91722157,0.614551967,2.973475366,16.66586315
178,MELROSE,0,0.379940626,4.027375512,3.352958892,1.066511473,0.020540337,3.031310502,8.84732684
184,MIDDLETON,0,2.881128097,4.028502659,3.024087202,0.40081982,0,2.726004476,10.33453778
185,MILFORD,0.778923735,8.192606814,10.64986686,5.072412103,1.696055083,1.279255043,2.672825456,27.66911964
187,MILLIS,0,0.582522718,4.713001005,2.293083663,0,0,2.843515155,7.588607386
189,MILTON,2.318684884,11.74805883,10.87542963,6.09805631,3.186649754,0.638135006,2.520700019,34.86501441
196,NAHANT,0,0,0,0.18331614,0,0,3.25,0.18331614
198,NATICK,2.708860628,12.39850436,13.26931204,5.610672462,2.425123872,5.195747379,2.660494519,41.60822074
199,NEEDHAM,1.006706706,2.851497362,5.26463901,1.354858149,0.522148338,0.344004574,2.4686598,11.34385414
207,NEWTON,5.150830163,21.64614528,15.87527863,8.434478546,2.755510513,3.201599753,2.423624461,57.06384289
213,NORTH READING,0,5.215516814,3.980395181,1.110846336,0.184842186,0,2.44772274,10.49160052
219,NORWELL,0,2.110620476,2.187928921,15.08886162,8.220025807,3.743801659,3.381464488,31.35123848
220,NORWOOD,6.558200574,2.029604354,2.308741291,11.26140647,2.928853835,0.634109955,2.359402221,25.72091648
229,PEABODY,10.62509622,12.9433926,24.15246464,4.761002982,4.216329934,2.925621174,2.281374292,59.62390755
243,QUINCY,7.444975697,17.60712108,16.90286978,3.788240073,2.055591967,1.341482148,2.185959902,49.14028075
244,RANDOLPH,2.4988467,6.358457526,5.095749882,6.159010817,1.173798805,14.00669111,3.135992722,35.29255484
246,READING,1.345411031,12.89894363,7.969469077,1.74884306,0,0.219271265,2.246700405,24.18193806
248,REVERE,3.663012949,13.60636266,26.79563324,10.44102868,4.821364463,0.061416416,2.579192524,59.38881841
251,ROCKLAND,0,0,1.841524975,0.621389327,0,0,2.876149198,2.462914302
252,ROCKPORT,0,3.583301591,0,0,0,0,2,3.583301591
258,SALEM,1.016120869,14.14662879,9.303863916,7.409643333,1.426577162,0,2.501585552,33.30283407
262,SAUGUS,0.5680729,11.39672164,18.43973636,13.00353242,2.422385336,2.583200423,2.805546535,48.41364908
264,SCITUATE,0.133638773,0.838981716,4.697575166,4.054425,1.624261825,0.737899927,3.061214447,12.08678241
266,SHARON,1.610668007,6.174163622,3.639552172,4.162378605,2.268272907,0.560534211,2.539868231,18.41556952
269,SHERBORN,0,0.671564394,8.56155886,4.116229899,1.450178146,1.498669582,3.072282454,16.29820088
274,SOMERVILLE,3.71232777,17.17353521,8.832688609,1.600898903,0,0,2.038346284,31.31945049
277,SOUTHBOROUGH,0.09002201,2.81687914,10.86890745,1.084707725,0,0,2.627671409,14.86051633
284,STONEHAM,0.778219416,8.952895459,5.47992679,1.107516548,0.670859825,0.559502217,2.36303012,17.54892026
285,STOUGHTON,1.852364525,5.026159047,7.14738253,4.760123534,4.543244862,11.41053051,3.186832638,34.73980501
286,STOW,0,3.933086509,2.222404525,2.254226735,1.19923194,0.233383449,2.722222602,9.842333158
288,SUDBURY,0,3.322306436,6.720311646,5.522660944,1.575788583,0.844251605,2.923017037,17.98531921
291,SWAMPSCOTT,0.223518106,6.819439832,0.980360331,0.46097537,0,0,2.101888653,8.484293639
298,TOPSFIELD,0,1.710361309,2.818115116,0.317331071,0.989135514,0,2.72686868,5.83494301
305,WAKEFIELD,0.102021373,5.668233835,5.707123625,0.664325285,0.9773747,0.600178736,2.580754055,13.71925755
307,WALPOLE,0.422085599,5.073961921,6.551382625,6.802389831,2.367296705,0,2.787813092,21.21711668
308,WALTHAM,1.037295004,6.888232398,12.65728556,7.137556704,1.199595418,0.124344769,2.644511364,29.04430985
314,WATERTOWN,0,13.77213952,2.369758466,0,0.033334294,0,2.113485472,16.17523228
315,WAYLAND,0,5.353211651,6.736422276,8.639946015,2.463318158,0.459365462,2.896177579,23.65226356
317,WELLESLEY,2.061262481,17.52302437,13.24194956,3.308459667,0.965783353,1.027272486,2.365770208,38.12775192
320,WENHAM,0,0,1.054587131,2.650690028,3.208011358,0.076236604,3.414953798,6.989525121
333,WESTON,0.037326739,1.058275098,2.298137917,1.98480623,1.044585359,0.925306329,3.094099416,7.348437672
335,WESTWOOD,3.386343657,3.340662047,5.458024553,2.286536037,0.391894085,0.757199479,2.16443061,15.62065986
336,WEYMOUTH,2.032135896,11.75762927,14.58164947,5.602722736,2.964952982,0.291508695,2.52966999,37.23059905
342,WILMINGTON,1.025118467,4.190176679,6.81198671,4.680431405,1.005738737,0.113157863,2.612788434,17.82660986
344,WINCHESTER,0,4.942499187,1.681571265,1.097179887,1.035717465,0.315045433,2.568122087,9.072013237
347,WOBURN,4.750404934,9.346346273,10.18544366,4.455379757,1.048323007,0.233637509,2.202126622,30.01953514
350,WRENTHAM,0.129819462,7.772340909,11.28909915,0.988418103,0,0,2.467931562,20.17967762
