"bridgeId","healthIndex","year","structDef","town"
"2P0","0.9791","2007","FALSE","Woburn"
"2P3","0.9258","2007","FALSE","Wellesley"
"2TK","0.9901","2007","FALSE","Lynnfield"
"2TL","0.6507","2007","FALSE","Saugus"
"2TN","0.9866","2007","FALSE","Beverly"
"2TP","0.5275","2007","FALSE","Beverly"
"2TQ","0.7767","2007","FALSE","Beverly"
"2TW","1","2007","FALSE","Beverly"
"2TX","0.9963","2007","FALSE","Beverly"
"2TY","0.9878","2007","FALSE","Beverly"
"2U0","0.7011","2007","TRUE","Danvers"
"2U1","0.4536","2007","FALSE","Danvers"
"2U2","0.7435","2007","TRUE","Danvers"
"2U3","0.9977","2007","FALSE","Danvers"
"2U4","0.7917","2007","FALSE","Danvers"
"2U5","0.8827","2007","FALSE","Danvers"
"2U6","0.5362","2007","FALSE","Gloucester"
"2U7","0.8573","2007","FALSE","Gloucester"
"2U8","0.831","2007","TRUE","Gloucester"
"2U9","0.7405","2007","FALSE","Gloucester"
"2UA","0.6623","2007","FALSE","Gloucester"
"2UB","1","2007","FALSE","Gloucester"
"2UC","0.7471","2007","FALSE","Manchester"
"2UD","0.747","2007","FALSE","Manchester"
"2UE","1","2007","FALSE","Peabody"
"2UF","1","2007","FALSE","Peabody"
"2UG","0.6641","2007","FALSE","Peabody"
"2UH","0.8386","2007","FALSE","Danvers"
"2UK","0.9791","2007","FALSE","Middleton"
"2UL","1","2007","FALSE","Peabody"
"2UM","0.8698","2007","FALSE","Peabody"
"2UN","0.190000075","2007","TRUE","Salem"
"2VE","0.7901","2007","FALSE","Danvers"
"2VF","0.7901","2007","FALSE","Danvers"
"2VG","0.78","2007","FALSE","Danvers"
"2VH","0.7682","2007","FALSE","Danvers"
"2VN","0.8769","2007","FALSE","Peabody"
"2VP","0.9928","2007","FALSE","Peabody"
"2VQ","0.9935","2007","FALSE","Peabody"
"2VR","0.9741","2007","FALSE","Peabody"
"2VT","0.5855","2007","FALSE","Peabody"
"2VU","0.7299","2007","FALSE","Peabody"
"2VV","0.7493","2007","FALSE","Peabody"
"2VW","0.7422","2007","FALSE","Peabody"
"2VX","0.7402","2007","FALSE","Peabody"
"2VY","0.9591","2007","FALSE","Peabody"
"2W0","0.6742","2007","FALSE","Peabody"
"2W1","0.739","2007","FALSE","Peabody"
"2W2","0.7363","2007","FALSE","Peabody"
"2W3","0.9574","2007","FALSE","Lynnfield"
"2W4","1","2007","FALSE","Lynnfield"
"2W5","1","2007","FALSE","Lynnfield"
"2W6","1","2007","FALSE","Lynnfield"
"2W7","1","2007","FALSE","Lynnfield"
"32R","0.6706","2007","FALSE","Salem"
"32T","0.4853","2007","FALSE","Salem"
"32V","0.6701","2007","FALSE","Salem"
"343","0.7092","2007","FALSE","Randolph"
"344","0.543","2007","FALSE","Randolph"
"345","0.942","2007","FALSE","Dedham"
"346","0.9629","2007","FALSE","Dedham"
"34A","0.9558","2007","FALSE","Braintree"
"34B","0.9101","2007","FALSE","Dedham"
