GEOID,AREA_LAND_ONLY,AREA_WITH_WATER,STATE,COUNTY,TRACT,TOTAL_POP_2010,MINORITY_POP,MINORITY_PCT,TOTAL_HH_2010,MINORITY_HH,MINORITY_HH_PCT,POP_65_PLUS,PCT_65_PLUS,POP_75_PLUS,PCT_75_PLUS,SINGLE_FEMALE_HOH,SINGLE_FEMALE_HOH_PCT,POP2010_16_PLUS,LABOR_FORCE,PCT_IN_LABOR_FORCE,LOW_INC_HH,LOW_INC_HH_PCT,MEDIAN_HH_INC,ACS2012_TOT_HH,AGGREG_HH_INC,POP2010_5_PLUS,LEP_POP,LEP_POP_PCT,ZERO_VEH_HH,ZERO_VEH_HH_PCT,LAND_AREA,TOWN_ID,TOWN,COUNTY_SUBDIVISION
25025100700,"1,211,207.00","166,009.00",25,25,"100,700","4,322",475,0.1099,"1,873",174,0.0929,689,0.1594,411,0.0951,216,0.1153,"3,522","2,504",0.7109,560,0.299,"70,000","1,856","145,687,200.00","4,036",87,0.0215,369,0.1972,0.467649637,35,Boston,"7,000"
25025060400,"399,278.00",0,25,25,"60,400","4,904",278,0.0567,"2,378",111,0.0467,853,0.1739,549,0.1119,181,0.0761,"4,534","3,418",0.7539,677,0.2845,"88,878","2,380","246,544,800.00","4,753",88,0.0185,525,0.2206,0.154162098,35,Boston,"7,000"
25025050600,"169,229.00",0,25,25,"50,600","2,063","1,540",0.7465,746,469,0.6287,151,0.0732,82,0.0397,97,0.13,"1,687","1,497",0.8871,307,0.4109,"58,674",735,"44,569,100.00","1,901","1,331",0.7,348,0.4667,0.065339682,35,Boston,"7,000"
25025060301,"272,518.00",0,25,25,"60,301","3,076",107,0.0348,"1,540",44,0.0286,431,0.1401,215,0.0699,117,0.076,"2,847","2,174",0.7636,445,0.2887,"86,719","1,486","153,010,000.00","2,983",57,0.019,467,0.3035,0.105219788,35,Boston,"7,000"
25025060600,"1,260,966.00","632,511.00",25,25,"60,600","2,357",318,0.1349,"1,370",164,0.1197,140,0.0594,70,0.0297,63,0.046,"2,245","1,865",0.8309,210,0.153,"83,625","1,235","142,554,304.00","2,295",53,0.023,488,0.3563,0.486861694,35,Boston,"7,000"
25025981202,"1,594,871.00","933,939.00",25,25,"981,202",207,52,0.2512,0,0,0,0,0,0,0,0,0,207,207,1,0,0,0,0,0,207,0,0,0,0,0.615783136,35,Boston,"7,000"
25017367100,"14,693,258.00","173,883.00",25,17,"367,100","3,959",617,0.1558,"1,399",158,0.1129,717,0.1811,372,0.094,91,0.065,"2,976","1,991",0.669,166,0.1184,"174,239","1,334","334,449,600.00","3,786",119,0.0315,21,0.015,5.67309863,333,Weston,"77,255"
25017360200,"34,799,782.00","1,943,234.00",25,17,"360,200","5,076",653,0.1286,"2,039",183,0.0897,"1,066",0.21,511,0.1007,136,0.0667,"4,059","2,679",0.66,292,0.1433,"133,690","1,808","312,887,808.00","4,872",60,0.0123,33,0.016,13.43627095,157,Lincoln,"35,425"
25017367200,"28,882,117.00","1,142,465.00",25,17,"367,200","7,302","1,251",0.1713,"2,377",262,0.1102,"1,283",0.1757,693,0.0949,162,0.0682,"5,560","2,970",0.5342,329,0.1385,"182,955","2,390","767,190,720.00","6,970",374,0.0536,103,0.0435,11.15144772,333,Weston,"77,255"
25021404202,"4,510,245.00","13,061.00",25,21,"404,202","4,986",967,0.1939,"1,292",112,0.0867,648,0.13,388,0.0778,73,0.0565,"4,097","2,237",0.5461,167,0.1296,"153,523","1,181","325,608,000.00","4,770",168,0.0352,27,0.0212,1.74141533,317,Wellesley,"74,175"
25017368200,"6,939,234.00","27,739.00",25,17,"368,200","4,294","1,007",0.2345,"1,772",334,0.1885,615,0.1432,283,0.0659,237,0.1337,"3,533","2,467",0.6984,453,0.2554,"88,550","1,707","181,910,896.00","4,004",322,0.0805,81,0.0457,2.679253226,308,Waltham,"72,600"
25025981201,"786,643.00","1,328,333.00",25,25,"981,201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30372456,35,Boston,"7,000"
25025180301,"721,121.00","293,951.00",25,25,"180,301","3,024",250,0.0827,"1,180",68,0.0576,480,0.1587,220,0.0728,126,0.1068,"2,469","1,701",0.689,230,0.195,"84,053","1,159","127,285,600.00","2,887",107,0.0369,105,0.0889,0.278426375,346,Winthrop,"81,005"
25023500101,"3,327,650.00","45,769,831.00",25,23,"500,101","3,702",210,0.0567,"1,559",49,0.0314,543,0.1467,188,0.0508,176,0.1129,"3,094","2,124",0.6866,440,0.2825,"80,551","1,671","165,653,200.00","3,530",0,0,165,0.1059,1.284812848,142,Hull,"31,645"
25017341300,"1,244,332.00","19,938.00",25,17,"341,300","5,439","3,265",0.6003,"2,427","1,237",0.5097,657,0.1208,315,0.0579,212,0.0874,"4,673","3,108",0.6652,"1,264",0.521,"43,452","2,409","140,983,200.00","5,050","2,170",0.4298,912,0.3757,0.480439271,165,Malden,"37,875"
25017359100,"14,847,989.00","165,652.00",25,17,"359,100","6,198",997,0.1609,"2,465",338,0.1371,"1,359",0.2193,834,0.1346,183,0.0742,"4,974","3,212",0.6457,482,0.1957,"96,410","2,304","303,093,792.00","5,891",349,0.0593,168,0.0681,5.732840603,23,Bedford,"4,615"
25009208200,"3,110,200.00","58,477.00",25,9,"208,200","5,262",442,0.084,"2,219",121,0.0545,"1,003",0.1906,523,0.0994,237,0.1068,"4,418","3,123",0.7068,899,0.4052,"66,421","2,189","159,707,008.00","5,042",157,0.0312,173,0.0781,1.200854933,262,Saugus,"60,015"
25009205800,"831,872.00","78,486.00",25,9,"205,800","3,312","2,175",0.6567,"1,058",545,0.5151,266,0.0803,118,0.0356,229,0.2164,"2,472","1,694",0.6852,554,0.5238,"41,310","1,157","60,624,800.00","3,021","1,001",0.3315,176,0.1668,0.321187575,163,Lynn,"37,490"
25009207000,"743,941.00","68,752.00",25,9,"207,000","2,198","1,406",0.6397,999,490,0.4905,506,0.2302,275,0.1251,192,0.1922,"1,768",867,0.4906,748,0.7491,"22,321","1,060","34,444,400.00","2,070",587,0.2838,471,0.4717,0.287237226,163,Lynn,"37,490"
25009206700,"526,854.00","242,990.00",25,9,"206,700","4,080","1,921",0.4708,"1,863",654,0.351,524,0.1284,228,0.0559,303,0.1626,"3,403","2,067",0.6073,"1,064",0.571,"36,107","1,860","101,095,200.00","3,843",585,0.1521,573,0.3075,0.203419467,163,Lynn,"37,490"
25009206600,"640,975.00","140,728.00",25,9,"206,600","4,243","1,847",0.4353,"1,810",547,0.3022,586,0.1381,295,0.0695,302,0.1669,"3,476","2,315",0.6659,"1,009",0.5577,"38,953","1,897","116,551,104.00","3,973",687,0.1728,493,0.2725,0.247481831,163,Lynn,"37,490"
25021414100,"28,403,016.00","339,917.00",25,21,"414,100","5,693","1,471",0.2584,"2,042",404,0.1978,731,0.1284,324,0.0569,181,0.0886,"4,430","3,178",0.7174,316,0.1546,"131,000","1,902","275,486,400.00","5,430",339,0.0624,85,0.0415,10.96646579,266,Sharon,"60,785"
25021414200,"24,661,027.00","2,015,361.00",25,21,"414,200","7,183","1,268",0.1765,"2,361",319,0.1351,797,0.111,279,0.0388,150,0.0635,"5,381","3,869",0.719,141,0.0598,"152,799","2,457","460,270,208.00","6,849",264,0.0385,14,0.0061,9.521675757,266,Sharon,"60,785"
25025030500,"190,735.00","292,691.00",25,25,"30,500","2,538",244,0.0961,"1,457",120,0.0824,271,0.1068,92,0.0362,48,0.0329,"2,430","2,101",0.8647,277,0.1901,"102,218","1,573","244,809,408.00","2,483",73,0.0296,641,0.4399,0.073643195,35,Boston,"7,000"
25025092101,"1,291,965.00","64,101.00",25,25,"92,101","6,451","4,545",0.7045,"2,252","1,358",0.603,622,0.0964,285,0.0442,549,0.2438,"5,106","3,455",0.6766,997,0.4429,"47,449","2,181","151,984,992.00","6,011","2,588",0.4305,519,0.2306,0.498830475,35,Boston,"7,000"
25025050300,"355,328.00","364,097.00",25,25,"50,300","2,251","1,601",0.7112,973,569,0.5848,321,0.1426,149,0.0662,206,0.2117,"1,796",915,0.5095,771,0.7919,"15,131","1,091","30,320,600.00","2,101",820,0.3901,647,0.6645,0.137192908,35,Boston,"7,000"
25025050400,"131,980.00",0,25,25,"50,400","2,372","1,437",0.6058,967,453,0.4685,223,0.094,125,0.0527,109,0.1127,"1,995","1,585",0.7945,382,0.3951,"56,442",982,"76,358,304.00","2,208",787,0.3564,320,0.331,0.050957763,35,Boston,"7,000"
25025160400,"1,294,086.00","3,542.00",25,25,"160,400","2,716","2,316",0.8527,943,703,0.7455,182,0.067,74,0.0272,248,0.263,"2,083","1,414",0.6789,619,0.6561,"34,886",881,"39,890,100.00","2,456","1,162",0.4732,505,0.5358,0.499649398,57,Chelsea,"13,205"
