"year","average","firstQuartile","thirdQuartile","median","minimum","maximum","town"
"2008","3.291577494572253","3.04972107","3.5541416","3.43056468","0.49572978","3.92812674","NORWOOD"
"2008","2.878399943704159","2.52836536","3.22864478","2.90000009","1.30100689","4.5","PEABODY"
"2008","3.1741206386158445","2.9208116","3.41526146","3.13230468","1.97965469","3.74943385","PEMBROKE"
"2008","2.5561614898798513","2.16682666","3.00587694","2.6","0.47955607","4.5","QUINCY"
"2008","3.3735815385842667","2.81603746","3.71597674","2.81603746","2.81603746","3.90000009","RANDOLPH"
"2008","2.7792655079086006","2.65824583","2.7","2.65824583","2.65824583","2.9775","READING"
"2008","2.7292333402825166","2.49474643","2.95047904","2.76150306","1.26233762","3.70000004","REVERE"
"2008","3.955792977453512","3.69305625","4.07887452","3.7125","3.69305625","4.37813412","ROCKLAND"
"2008","2.888097850229555","2.72126588","3.20000004","3.02944999","0.51111111","3.83774539","SALEM"
"2008","2.974756402257994","2.7751077","3.22128364","3.03308115","1.66885529","3.7125","SAUGUS"
"2008","3.2343097198044672","2.99275536","3.50264847","3.1875","2.12610341","3.66884499","SCITUATE"
"2008","3.431346223981013","2.96284078","4.5","3.3586171","0.25081422","4.5","SHARON"
"2008","2.5035444875118524","2.03322775","3","2.55452147","0.51397205","4.5","SOMERVILLE"
"2008","3.196956394966108","3.03510325","3.40000009","3.2951281","1.38569165","3.63675118","SOUTHBOROUGH"
"2008","2.4368022093266113","2.13348179","2.68306045","2.47779394","1.40699999","3.20000004","STONEHAM"
"2008","3.420157671330874","2.83244041","3.96611485","3.62430191","0.29501855","4.5","STOUGHTON"
"2008","3.0182453267333145","2.84481874","3.26776417","3.11223929","1.79589039","3.7125","SUDBURY"
"2008","3.1164195658419493","2.81318848","3.48704971","3.09813434","1.92681207","3.7125","WALPOLE"
"2008","2.7517512780942743","2.39113997","3.17328728","2.78156596","1.20456252","3.97098714","WALTHAM"
"2008","2.204804137392802","1.782","2.50002768","2.21761504","0.73112807","3.22383619","WATERTOWN"
"2008","2.868258471150982","2.42111814","3.16057724","2.8","1.97257746","4.5","WAYLAND"
"2008","3.1895266175460573","3.02352708","3.5","3.25715","1.65364285","3.5999999","WELLESLEY"
"2008","2.5298105186602884","2.32462869","2.47099254","2.38806865","2.32462869","2.92793783","WENHAM"
"2008","3.1172512995877653","2.97261572","3.35322418","3.12204507","1.61031147","3.90544812","WESTON"
"2008","3.2175748543950555","2.77037695","3.6087648","3.34665565","1.74635829","3.88172815","WESTWOOD"
"2008","2.7218311209147745","2.3451328","3.0929668","2.76561503","0.13984674","4.5","WEYMOUTH"
"2008","3.2729038933786194","2.6460143","3.43056935","2.99260063","1.30726253","4.5","WILMINGTON"
"2008","2.496300985418849","2.2966292","2.54096757","2.4032029","2.18405645","3.52404113","WINCHESTER"
"2008","2.563672222516522","2.30939732","2.96231974","2.6219101","0","3.7451337","WOBURN"
"2008","2.6992458858900417","2.39683579","2.75349471","2.73517877","2.325219","3.09360397","WRENTHAM"
"2009","3.054012274134785","2.75739303","3.33958393","2.91373197","2.23375967","3.7125","ACTON"
"2009","2.6440549401715328","2.2530594","2.69767969","2.46207039","0.084","4.5","ARLINGTON"
"2009","2.9997063721116533","2.76972318","2.86840881","2.8","2.35324675","4.12155012","BEDFORD"
"2009","2.7385514302431706","2.612","2.90208772","2.75201904","2.16001435","3.13282317","BELLINGHAM"
"2009","4.494817086187813","4.46821957","4.5","4.46821957","4.46821957","4.5","BELMONT"
"2009","2.646009347940052","2.49185185","2.66699714","2.65461718","0.1121259","3.85268545","BEVERLY"
"2009","2.337063861636388","1.9317509","2.84708274","2.37448971","0.02613335","4.5","BOSTON"
"2009","2.834345064860467","2.71817284","2.72","2.71817284","2.71817284","3.27595403","BOXBOROUGH"
"2009","3.100352616011859","2.80404415","3.44015552","3.1875","2.04675","3.64132104","BRAINTREE"
"2009","2.550919582767923","2.29999995","2.79999995","2.47874375","1.60000002","4.17276527","BROOKLINE"
"2009","3.1210154954158726","2.777603","3.7125","2.91647135","0.77356694","3.82823813","BURLINGTON"
"2009","2.338117678258265","1.96709854","2.74475317","2.37388553","0","3.7125","CAMBRIDGE"
"2009","3.2455846479092183","3.08734654","3.59781048","3.20237294","0.23616025","3.77933614","CANTON"
"2009","2.2387240084336137","1.57024232","2.5999999","2.30277251","0.11917098","4.30097687","CHELSEA"
"2009","3.225481321776987","2.81891809","3.47125469","3.20602273","2.39996793","3.69362636","COHASSET"
"2009","2.588505498076324","2.26490026","2.66819994","2.4006012","1.07594169","3.78503297","CONCORD"
"2009","2.6100279886209377","2.2","2.95124999","2.63448385","0.02325581","3.99183912","DANVERS"
"2009","2.6809328542266773","2.49936682","2.85867499","2.63749731","0.28724875","4.16810395","DEDHAM"
"2009","3.150848459805424","2.96372375","3.296","3.18127782","2.96372375","3.36445608","DOVER"
"2009","3.9424210134513413","3.82919251","4.20807692","3.94786145","3.01489361","4.45431523","DUXBURY"
"2009","2.0845513645279827","1.86506832","1.86506832","1.86506832","1.86506832","2.27355386","ESSEX"
"2009","2.769391337540662","2.49271262","3","2.72","0.64768585","3.76604692","EVERETT"
"2009","3.2936903521467427","2.81067869","3.76901432","3.59931611","0.61270234","4.30720211","FOXBOROUGH"
"2009","2.593560249759483","2.3985455","2.70000004","2.612","0.492761","3.61589761","FRAMINGHAM"
"2009","2.8480128999825687","2.79999995","2.85132259","2.83824488","1.76525195","3.61887968","FRANKLIN"
"2009","2.4130069838463046","2.1615","2.75508373","2.48175","1.25471294","3.0680844","GLOUCESTER"
"2009","3.0334029430363616","2.53105393","3.50906356","2.97626411","1.60419231","4.14874293","HANOVER"
"2009","3.0843521622877836","2.56494753","3.55804523","2.8312246","1.14125","4.37081065","HINGHAM"
"2009","4.21324209442406","3.95504208","4.49442854","4.40210098","2.40000009","4.5","LEXINGTON"
"2009","3.5031099485728707","2.80296553","4.13684894","3.68283824","2.02892216","4.5","LINCOLN"
"2009","3.7828291281983177","2.72","4.5","3.96556181","2.20754838","4.5","LITTLETON"
