town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Beverly,2006,8,0,12,8,0,14
Bolton,2006,0,0,0,1,0,1
Boston,2006,7,0,12,25,8,67
Boxborough,2006,0,0,0,0,0,0
Braintree,2006,2,0,3,3,0,9
Brookline,2006,7,0,17,20,1,36
Burlington,2006,2,0,4,1,0,9
Cambridge,2006,75,0,120,46,1,90
Canton,2006,1,0,2,5,0,5
Carlisle,2006,0,0,0,0,0,0
Chelsea,2006,14,0,17,27,0,33
Cohasset,2006,1,0,2,2,0,2
Concord,2006,1,0,1,1,0,1
Danvers,2006,3,0,3,4,1,7
Dedham,2006,1,0,1,1,0,4
Dover,2006,2,0,2,0,0,0
Duxbury,2006,1,0,1,1,0,2
Essex,2006,0,0,0,0,0,0
Everett,2006,2,0,6,9,0,15
Foxborough,2006,1,1,2,1,0,1
Framingham,2006,17,0,29,20,0,29
Franklin,2006,0,0,0,1,0,2
Gloucester,2006,5,0,5,2,0,6
Hamilton,2006,0,0,2,0,0,0
Hanover,2006,0,0,1,1,0,1
Hingham,2006,3,0,3,0,0,4
Holbrook,2006,2,0,2,3,0,6
Holliston,2006,0,0,0,1,0,2
Hopkinton,2006,0,0,0,0,1,2
Hudson,2006,1,0,6,1,0,5
Hull,2006,2,0,5,0,0,1
Ipswich,2006,1,0,1,0,0,0
Lexington,2006,12,1,19,12,1,16
Lincoln,2006,0,0,1,0,0,1
Littleton,2006,0,0,0,0,0,1
Lynn,2006,30,0,45,56,1,91
Lynnfield,2006,1,0,1,2,0,2
Malden,2006,15,0,20,37,0,57
Manchester,2006,0,0,0,0,0,1
Marblehead,2006,3,0,3,2,0,2
Marlborough,2006,3,0,9,4,0,14
Marshfield,2006,3,0,6,1,1,7
Maynard,2006,0,0,0,0,0,0
Medfield,2006,2,1,3,0,0,0
Medford,2006,5,0,11,14,1,27
Medway,2006,0,1,1,0,0,1
Melrose,2006,2,0,2,2,0,3
Middleton,2006,0,0,0,0,0,1
Milford,2006,0,0,2,2,1,5
Millis,2006,0,0,0,1,0,1
Milton,2006,1,0,1,0,0,1
Nahant,2006,0,0,0,0,0,0
Natick,2006,8,0,12,4,1,7
Needham,2006,6,0,10,0,0,2
Newton,2006,16,0,20,23,2,35
Norfolk,2006,0,0,2,0,1,2
North Reading,2006,3,0,4,0,0,1
Norwell,2006,1,0,1,1,0,2
Norwood,2006,6,0,10,7,0,9
Peabody,2006,1,0,2,9,0,14
Pembroke,2006,2,0,2,2,0,4
Quincy,2006,5,0,11,40,4,63
Randolph,2006,2,0,2,10,2,14
Reading,2006,1,0,1,4,0,5
Revere,2006,1,0,2,6,2,11
Rockland,2006,4,0,5,4,0,5
Rockport,2006,0,0,2,0,0,0
Salem,2006,9,0,20,21,2,28
Saugus,2006,3,0,3,11,0,14
Scituate,2006,1,0,1,0,0,0
Sharon,2006,3,0,3,2,0,2
Sherborn,2006,0,0,1,1,0,1
Somerville,2006,26,0,39,30,1,40
Southborough,2006,0,0,0,0,0,0
Stoneham,2006,1,0,4,1,0,4
Stoughton,2006,7,0,10,14,0,15
Stow,2006,1,0,2,0,0,0
Sudbury,2006,3,0,4,2,0,2
Swampscott,2006,1,0,4,1,0,5
Topsfield,2006,1,0,2,1,0,1
Wakefield,2006,7,0,10,4,1,6
Walpole,2006,2,0,3,2,0,4
Waltham,2006,22,0,28,23,0,39
Watertown,2006,4,0,6,17,0,23
Wayland,2006,0,0,1,0,1,1
Wellesley,2006,5,0,7,6,0,7
Wenham,2006,1,0,1,0,0,0
Weston,2006,2,0,2,0,0,0
Westwood,2006,0,0,1,2,0,3
Weymouth,2006,1,0,6,8,0,17
Wilmington,2006,3,0,3,0,0,2
Winchester,2006,2,0,3,0,0,2
Winthrop,2006,1,0,2,3,0,6
Woburn,2006,6,0,13,10,0,20
Wrentham,2006,0,0,0,1,2,7
Total,2006,424,4,696,600,36,1035
Acton,2007,0,0,,0,0,1
Arlington,2007,9,0,,2,0,5
Ashland,2007,0,0,,3,0,4
Bedford,2007,1,0,,0,1,5
Bellingham,2007,0,0,,0,1,2
Belmont,2007,4,0,,7,1,9
Beverly,2007,7,0,,7,0,14
Bolton,2007,0,0,,0,0,0
Boston,2007,18,3,,45,10,97
Boxborough,2007,0,0,,0,0,0
Braintree,2007,2,0,,0,0,6
Brookline,2007,14,0,,22,0,27
Burlington,2007,0,0,,2,1,6
Cambridge,2007,72,0,,45,0,84
Canton,2007,2,0,,9,1,10
Carlisle,2007,1,0,,0,0,0
Chelsea,2007,11,0,,45,0,62
Cohasset,2007,0,0,,0,0,0
Concord,2007,4,0,,3,0,6
Danvers,2007,5,0,,7,0,11
Dedham,2007,2,0,,0,1,6
Dover,2007,2,0,,0,0,0
Duxbury,2007,0,0,,1,0,1
Essex,2007,1,0,,0,0,0
Everett,2007,8,0,,12,0,21
Foxborough,2007,1,0,,1,0,1
Framingham,2007,11,0,,22,0,35
Franklin,2007,0,0,,1,0,6
Gloucester,2007,1,0,,1,0,2
Hamilton,2007,0,0,,1,0,1
Hanover,2007,1,0,,1,0,2
Hingham,2007,1,0,,6,0,9
Holbrook,2007,2,0,,2,0,6
Holliston,2007,2,0,,2,0,3
Hopkinton,2007,0,0,,1,0,2
Hudson,2007,2,0,,0,1,5
Hull,2007,2,0,,1,0,1
Ipswich,2007,2,0,,1,0,3
Lexington,2007,13,0,,9,2,15
Lincoln,2007,0,0,,0,0,0
Littleton,2007,0,0,,0,0,0
Lynn,2007,21,0,,64,0,89
Lynnfield,2007,3,0,,3,0,5
Malden,2007,16,0,,28,2,43
Manchester,2007,0,0,,0,0,1
Marblehead,2007,2,0,,1,0,2
Marlborough,2007,0,0,,4,1,11
Marshfield,2007,1,0,,2,0,2
Maynard,2007,0,0,,0,0,1
Medfield,2007,3,0,,0,0,2
Medford,2007,12,0,,17,2,32
Medway,2007,0,0,,0,0,0
Melrose,2007,1,0,,0,0,1
Middleton,2007,0,0,,1,0,1
Milford,2007,0,0,,0,0,3
Millis,2007,0,0,,0,0,0
Milton,2007,0,0,,3,0,6
Nahant,2007,0,0,,0,0,0
Natick,2007,10,0,,3,0,6
Needham,2007,2,0,,6,1,9
Newton,2007,34,0,,36,0,46
Norfolk,2007,0,0,,0,0,0
North Reading,2007,2,0,,1,0,1
Norwell,2007,0,0,,1,0,2
Norwood,2007,3,0,,10,0,16
Peabody,2007,2,0,,8,0,14
Pembroke,2007,1,0,,3,0,3
Quincy,2007,8,0,,38,1,56
Randolph,2007,0,1,,4,0,9
Reading,2007,1,0,,4,0,4
Revere,2007,4,0,,14,0,18
Rockland,2007,3,0,,2,0,3
Rockport,2007,0,0,,1,0,1
Salem,2007,12,0,,26,0,34
Saugus,2007,1,0,,3,1,5
Scituate,2007,0,0,,0,1,1
Sharon,2007,3,0,,2,0,3
Sherborn,2007,1,0,,1,0,1
Somerville,2007,34,0,,38,0,52
Southborough,2007,1,0,,0,0,1
Stoneham,2007,4,0,,3,0,5
Stoughton,2007,1,0,,5,0,8
Stow,2007,0,0,,0,0,0
Sudbury,2007,4,0,,0,0,0
Swampscott,2007,1,0,,1,0,5
Topsfield,2007,1,0,,0,0,0
Wakefield,2007,2,0,,4,0,5
Walpole,2007,0,1,,3,0,4
Waltham,2007,6,0,,15,1,25
Watertown,2007,7,0,,8,0,14
Wayland,2007,1,0,,2,0,2
Wellesley,2007,7,0,,8,0,12
Wenham,2007,0,0,,2,0,2
Weston,2007,1,0,,2,0,3
Westwood,2007,1,0,,2,1,8
Weymouth,2007,1,0,,9,0,16
Wilmington,2007,2,0,,5,0,6
Winchester,2007,1,0,,1,0,3
Winthrop,2007,0,0,,6,0,7
Woburn,2007,4,0,,10,1,17
Wrentham,2007,0,0,,0,0,0
Total,2007,426,5,,669,31,1094
Acton,2008,0,0,,0,1,3
Arlington,2008,8,0,,6,0,12
Ashland,2008,3,0,,6,0,6
Bedford,2008,2,0,,2,0,3
Bellingham,2008,0,0,,1,0,3
Belmont,2008,3,0,,3,0,3
Beverly,2008,11,0,,2,1,12
Bolton,2008,0,0,,0,1,1
Boston,2008,31,0,,44,14,103
Boxborough,2008,0,0,,0,0,0
Braintree,2008,0,0,,4,0,11
Brookline,2008,15,0,,17,0,29
Burlington,2008,3,0,,7,0,13
Cambridge,2008,78,0,,56,2,101
Canton,2008,4,0,,3,0,3
Carlisle,2008,4,0,,0,3,0
Chelsea,2008,4,0,,36,0,52
Cohasset,2008,1,0,,1,0,1
Concord,2008,6,0,,5,0,7
Danvers,2008,4,0,,5,0,11
Dedham,2008,0,0,,2,0,4
Dover,2008,1,0,,1,0,1
Duxbury,2008,0,0,,0,0,3
Essex,2008,0,0,,2,0,2
Everett,2008,0,1,,6,1,19
Foxborough,2008,1,0,,4,0,5
Framingham,2008,21,0,,19,0,24
Franklin,2008,1,0,,1,1,3
Gloucester,2008,1,0,,1,0,5
Hamilton,2008,1,0,,0,0,0
Hanover,2008,1,0,,1,0,1
Hingham,2008,2,0,,4,0,4
Holbrook,2008,1,0,,5,0,7
Holliston,2008,2,0,,5,0,6
Hopkinton,2008,0,0,,0,0,3
Hudson,2008,0,0,,0,1,3
Hull,2008,3,0,,2,0,3
Ipswich,2008,0,0,,2,0,4
Lexington,2008,5,0,,4,1,10
Lincoln,2008,1,0,,0,0,0
Littleton,2008,0,0,,0,0,0
Lynn,2008,18,1,,57,3,100
Lynnfield,2008,1,0,,1,0,2
Malden,2008,11,0,,28,0,38
Manchester,2008,0,0,,0,0,0
Marblehead,2008,2,0,,1,0,7
Marlborough,2008,9,0,,4,1,7
Marshfield,2008,3,0,,0,2,2
Maynard,2008,0,0,,0,0,1
Medfield,2008,1,0,,0,0,0
Medford,2008,13,0,,15,0,22
Medway,2008,2,0,,0,0,2
Melrose,2008,1,0,,8,0,10
Middleton,2008,0,0,,0,0,1
Milford,2008,1,0,,0,0,0
Millis,2008,1,0,,0,0,0
Milton,2008,2,0,,5,0,7
Nahant,2008,0,0,,0,0,0
Natick,2008,9,0,,10,0,13
Needham,2008,6,0,,4,0,6
Newton,2008,21,0,,35,1,46
Norfolk,2008,0,0,,0,0,1
North Reading,2008,3,0,,1,0,2
Norwell,2008,0,0,,2,0,2
Norwood,2008,3,0,,4,0,9
Peabody,2008,4,0,,5,1,7
Pembroke,2008,2,0,,3,0,3
Quincy,2008,7,0,,41,1,66
Randolph,2008,0,0,,8,1,12
Reading,2008,0,0,,1,0,1
Revere,2008,0,0,,20,0,27
Rockland,2008,3,0,,5,0,7
Rockport,2008,0,0,,1,0,2
Salem,2008,15,0,,10,1,29
Saugus,2008,0,1,,7,0,8
Scituate,2008,0,0,,1,0,1
Sharon,2008,2,0,,3,0,5
Sherborn,2008,1,0,,0,0,0
Somerville,2008,44,0,,39,0,50
Southborough,2008,1,0,,0,0,2
Stoneham,2008,0,0,,8,2,11
Stoughton,2008,4,0,,12,0,17
Stow,2008,3,0,,0,0,0
Sudbury,2008,0,0,,0,0,3
Swampscott,2008,0,0,,2,0,7
Topsfield,2008,2,0,,0,0,0
Wakefield,2008,7,0,,5,2,8
Walpole,2008,1,0,,0,0,1
Waltham,2008,17,0,,34,0,50
Watertown,2008,8,0,,13,1,18
Wayland,2008,0,0,,0,1,2
Wellesley,2008,7,0,,6,0,12
Wenham,2008,0,0,,1,0,1
Weston,2008,3,0,,1,1,4
Westwood,2008,2,0,,1,1,2
Weymouth,2008,8,0,,11,0,17
Wilmington,2008,2,0,,4,0,5
Winchester,2008,0,0,,2,0,5
Winthrop,2008,2,0,,2,0,6
Woburn,2008,15,0,,14,1,21
Wrentham,2008,0,0,,0,0,1
Total,2008,485,3,,692,46,1170
Acton,2009,1,0,,1,0,
Arlington,2009,10,0,,10,0,
Ashland,2009,1,0,,1,0,
Bedford,2009,2,0,,0,0,
Bellingham,2009,1,0,,1,0,
Belmont,2009,5,0,,3,1,
Beverly,2009,4,0,,6,0,
Bolton,2009,0,0,,0,0,
Boston,2009,46,0,,96,2,
Boxborough,2009,0,0,,0,0,
Braintree,2009,2,0,,0,0,
Brookline,2009,21,0,,16,0,
Burlington,2009,1,0,,4,0,
Cambridge,2009,109,0,,52,0,
Canton,2009,3,0,,1,0,
Carlisle,2009,3,0,,0,3,
Chelsea,2009,13,0,,37,0,
Cohasset,2009,1,0,,1,0,
Concord,2009,2,0,,1,1,
Danvers,2009,1,0,,7,2,
Dedham,2009,1,0,,1,0,
Dover,2009,2,0,,0,0,
Duxbury,2009,0,0,,0,0,
Essex,2009,1,0,,0,0,
Everett,2009,4,0,,10,0,
Foxborough,2009,1,0,,4,0,
Framingham,2009,17,0,,29,0,
Franklin,2009,0,0,,0,0,
Gloucester,2009,0,0,,0,0,
Hamilton,2009,0,0,,1,0,
Hanover,2009,1,0,,0,0,
Hingham,2009,4,0,,3,0,
Holbrook,2009,4,0,,1,0,
Holliston,2009,4,0,,3,0,
Hopkinton,2009,1,0,,2,1,
Hudson,2009,1,0,,0,0,
Hull,2009,3,0,,0,0,
Ipswich,2009,0,0,,2,0,
Lexington,2009,10,0,,9,0,
Lincoln,2009,1,0,,1,0,
Littleton,2009,0,0,,0,0,
Lynn,2009,23,0,,49,1,
Lynnfield,2009,0,0,,1,0,
Malden,2009,2,0,,19,1,
Manchester,2009,1,0,,0,0,
Marblehead,2009,2,0,,2,1,
Marlborough,2009,6,0,,6,0,
Marshfield,2009,0,1,,2,0,
Maynard,2009,0,0,,0,0,
Medfield,2009,2,0,,1,0,
Medford,2009,9,0,,13,1,
Medway,2009,0,0,,0,0,
Melrose,2009,5,0,,8,0,
Middleton,2009,0,0,,0,0,
Milford,2009,2,0,,6,0,
Millis,2009,0,0,,0,1,
Milton,2009,2,0,,4,0,
Nahant,2009,0,0,,1,0,
Natick,2009,7,0,,5,0,
Needham,2009,5,0,,6,0,
Newton,2009,20,0,,28,0,
Norfolk,2009,1,0,,0,0,
North Reading,2009,2,0,,2,1,
Norwell,2009,1,0,,0,1,
Norwood,2009,2,0,,7,0,
Peabody,2009,2,0,,5,0,
Pembroke,2009,2,0,,3,0,
Quincy,2009,12,0,,31,1,
Randolph,2009,1,0,,6,0,
Reading,2009,1,0,,0,0,
Revere,2009,8,0,,21,2,
Rockland,2009,0,0,,5,0,
Rockport,2009,1,0,,3,0,
Salem,2009,6,0,,13,1,
Saugus,2009,0,0,,8,1,
Scituate,2009,1,0,,0,0,
Sharon,2009,1,0,,1,0,
Sherborn,2009,0,0,,0,0,
Somerville,2009,37,0,,36,1,
Southborough,2009,0,0,,0,1,
Stoneham,2009,1,0,,2,0,
Stoughton,2009,5,0,,6,1,
Stow,2009,2,0,,0,0,
Sudbury,2009,1,0,,4,0,
Swampscott,2009,1,0,,0,0,
Topsfield,2009,3,0,,0,0,
Wakefield,2009,7,0,,6,0,
Walpole,2009,0,0,,2,0,
Waltham,2009,25,0,,27,0,
Watertown,2009,10,0,,19,1,
Wayland,2009,0,0,,1,0,
Wellesley,2009,4,0,,1,0,
Wenham,2009,0,0,,0,0,
Weston,2009,1,0,,2,0,
Westwood,2009,1,0,,1,0,
Weymouth,2009,3,0,,17,2,
Wilmington,2009,7,0,,4,0,
Winchester,2009,2,0,,0,0,
Winthrop,2009,0,0,,7,0,
Woburn,2009,7,0,,12,1,
Wrentham,2009,0,0,,0,0,
Total,2009,525,1,,706,29,
Acton,2010,1,0,3,0,0,3
Arlington,2010,9,0,24,4,0,14
Ashland,2010,2,0,3,3,0,3
Bedford,2010,1,0,2,2,0,3
Bellingham,2010,1,0,1,5,0,6
Belmont,2010,4,0,5,3,0,4
Beverly,2010,7,0,11,17,0,22
Bolton,2010,0,0,0,2,0,2
Boston,2010,83,3,127,180,7,302
Boxborough,2010,0,0,0,0,1,1
Braintree,2010,4,0,5,3,1,8
Brookline,2010,2,0,3,1,0,3
Burlington,2010,3,0,4,0,0,3
Cambridge,2010,112,0,198,60,1,101
Canton,2010,2,0,4,3,0,5
Carlisle,2010,0,0,1,0,0,0
Chelsea,2010,7,0,12,39,3,56
Cohasset,2010,1,0,1,1,0,2
Concord,2010,6,0,9,2,1,4
Danvers,2010,3,0,3,5,0,7
Dedham,2010,0,0,1,2,0,4
Dover,2010,4,0,4,0,0,0
Duxbury,2010,0,0,1,0,0,2
Essex,2010,0,0,0,1,0,1
Everett,2010,10,0,14,3,0,14
Foxborough,2010,0,0,0,1,0,1
