year,average,firstQuartile,thirdQuartile,median,minimum,maximum,town
2008,2.994875234,2.79999995,3,2.79999995,2.79999995,3.58322631,FRANKLIN
2008,2.443149473,2.21211869,2.75508373,2.48175,1.44972225,3.0680844,GLOUCESTER
2008,3.029349874,2.5999999,3.50906356,2.925,1.80549115,3.7168665,HANOVER
2008,2.917106577,2.46996985,3.46543193,2.73488372,1.70503329,3.89167225,HINGHAM
2008,2.634762931,2.3491819,2.70867193,2.6,1.46591349,3.7125,LEXINGTON
2008,2.927142861,2.47727771,3.61406249,2.612,0.39905771,3.7125,LINCOLN
2008,2.540192387,2.2,2.72156832,2.45708023,1.4780968,3.36164981,LITTLETON
2008,2.854814528,2.7,3.24347686,2.80452823,0.69011294,3.69525545,LYNN
2008,2.801278732,2.2,3.35622987,2.9663082,0.30520231,3.49716782,LYNNFIELD
2008,2.50929775,2.22239242,2.72,2.51938813,1.26873092,3.73296415,MALDEN
2008,2.582272517,2.15009865,2.68656508,2.45922443,2.00305263,3.56435993,MANCHESTER
2008,2.731966561,2.40859411,3.02910967,2.70494353,0.27627348,3.7125,MARLBOROUGH
2008,3.309556136,3.17660897,3.62862185,3.45,0.69452118,3.71258467,MARSHFIELD
2008,3.03734375,2.72,3.34800265,3.08379401,0.93639344,3.66,MAYNARD
2008,3.381096714,3.11099593,3.62216245,3.55757182,2.72,3.73703477,MEDFIELD
2008,2.570073546,2.30304872,3.20000004,2.63228902,0.20581623,3.7125,MEDFORD
2008,2.99846175,2.46930312,3.34540291,2.7719243,1.01844627,4.5,MEDWAY
2008,2.921452565,2.612,2.80362407,2.612,2.612,3.17565333,MELROSE
2008,2.877546961,2.612,3.0298159,2.79999995,2.18399484,3.65917418,MIDDLETON
2008,3.238354693,2.44747066,3.5011407,3.5,1.7495,3.56512694,MILFORD
2008,3.277683509,2.89506038,3.51217871,3.37605137,2.72,3.67493867,MILLIS
2008,3.073880996,2.68991309,3.50666117,3,0.87374584,4.5,MILTON
2008,2.965744224,2.72,3.10619216,3,1.87321565,4.5,NATICK
2008,2.591766058,2.5,2.79180686,2.64530982,1.51415771,3.10900968,NEWTON
2008,3.6597654,3.6597654,3.6597654,3.6597654,3.6597654,3.6597654,NORTH READING
2008,3.664955039,3.68616741,3.71085721,3.70222602,1.84206957,3.71112583,NORWELL
2008,3.291577495,3.04972107,3.5541416,3.43056468,0.49572978,3.92812674,NORWOOD
