bridgeId,healthIndex,year,structDef,deckArea,town
35N,0.7538,2007,TRUE,1195.2,Dedham
35P,0.8505,2007,FALSE,723.6,Dedham
AFX,1,2007,FALSE,380.65,Dover
AFA,0.9964,2007,FALSE,424.6,Dover
33N,0.7132,2007,FALSE,136.62,Dover
33M,0.5263,2007,TRUE,204,Dover
367,0.5135,2007,TRUE,381.94,Dover
375,0.9964,2007,FALSE,221.4,Dover
4D8,0.8355,2007,FALSE,119.4113741,Dover
4D9,0.7699,2007,FALSE,58.91,Dover
438,0.9955,2007,FALSE,5648.16,Duxbury
AEE,1,2007,FALSE,825.84,Duxbury
4A7,0.6614,2007,FALSE,998.52,Duxbury
4AT,0.7084,2007,FALSE,1092.44,Duxbury
49Q,0.9097,2007,FALSE,1175.61,Duxbury
48H,0.9426,2007,FALSE,452.25,Duxbury
48J,0.943,2007,TRUE,452.25,Duxbury
4AU,0.9795,2007,FALSE,967.2,Duxbury
4AV,0.9755,2007,FALSE,956.25,Duxbury
2TV,0.787,2007,FALSE,305.51,Essex
3GH,0.7648,2007,FALSE,609.15,Everett
4.00E+08,0.9848,2007,FALSE,842.14,Everett
3GJ,0.8981,2007,FALSE,154.58,Everett
4.00E+09,0.6997,2007,FALSE,2560.95,Everett
4.00E+07,0.9472,2007,FALSE,1781.64,Everett
3GK,0.7486,2007,FALSE,523.9,Everett
4EA,0.6324,2007,FALSE,667.87,Everett
4EB,0.5766,2007,FALSE,724.68,Everett
3PL,0.9615,2007,FALSE,810.67,Foxborough
3PM,0.9964,2007,FALSE,1559.3,Foxborough
3QK,0.8902,2007,FALSE,938.79,Foxborough
3QL,0.9553,2007,FALSE,990.09,Foxborough
3QM,0.6514,2007,FALSE,603.57,Foxborough
3QN,0.6514,2007,FALSE,603.57,Foxborough
3QP,0.9851,2007,FALSE,719.91,Foxborough
3QQ,0.9555,2007,FALSE,719.91,Foxborough
3QR,0.9641,2007,FALSE,215.74,Foxborough
3QT,0.988,2007,FALSE,217.08,Foxborough
3QU,0.9805,2007,FALSE,839.61,Foxborough
3QV,0.9822,2007,FALSE,888.71,Foxborough
3QW,0.9627,2007,FALSE,1010.61,Foxborough
3QX,0.9412,2007,FALSE,1010.61,Foxborough
3XN,0.8668,2007,FALSE,468.72,Foxborough
3XP,0.8668,2007,FALSE,468.72,Foxborough
3XL,0.9637,2007,FALSE,557.28,Foxborough
3XM,1,2007,FALSE,552.42,Foxborough
3W0,0.9411,2007,FALSE,1530.9,Foxborough
3RA,0.608,2007,FALSE,614.19,Foxborough
3RB,0.6404,2007,FALSE,614.19,Foxborough
AX7,1,2007,FALSE,867.18,Foxborough
AX8,1,2007,FALSE,744,Foxborough
276,0.3779,2007,TRUE,452.1,Framingham
244,0.7558,2007,FALSE,130.29,Framingham
245,0.8098,2007,FALSE,59.28,Framingham
246,0.9684,2007,FALSE,246.6,Framingham
247,0.3401,2007,TRUE,220.32,Framingham
274,0.6067,2007,TRUE,613.25,Framingham
249,0.9872,2007,FALSE,406.1,Framingham
24A,0.8816,2007,TRUE,438.65,Framingham
248,0.9686,2007,FALSE,287.28,Framingham
24D,0.9655,2007,FALSE,196.47,Framingham
29G,0.5174,2007,TRUE,250.86,Framingham
29H,0.5356,2007,TRUE,283.55,Framingham
29J,0.6853,2007,FALSE,573.54,Framingham
28H,0.6718,2007,FALSE,102.3,Framingham
290,1,2007,FALSE,965.25,Framingham
28B,0.9929,2007,FALSE,502.4,Framingham
25N,0.9437,2007,FALSE,129.2,Framingham
24B,0.9717,2007,FALSE,327.57,Framingham
24E,0.9966,2007,FALSE,191.36,Framingham
24C,0.938,2007,FALSE,345.74,Framingham
275,0.7517,2007,TRUE,1083.6,Framingham
4PK,-1,2007,FALSE,269.04,Framingham
4PH,-1,2007,FALSE,723.12,Framingham
4PJ,-1,2007,FALSE,723.12,Framingham
4P7,-1,2007,FALSE,1021.14,Framingham
4P8,-1,2007,FALSE,1021.14,Framingham
4P2,-1,2007,FALSE,950.3,Framingham
4P3,-1,2007,FALSE,817,Framingham
4PG,0.740740741,2007,FALSE,223.26,Framingham
4PN,0.740740741,2007,FALSE,775.78,Framingham
4PL,-1,2007,FALSE,3146.5,Framingham
4RD,0.740740741,2007,FALSE,1725.27,Boston
4TT,-1,2007,FALSE,1254,Boston
4RJ,-1,2007,FALSE,661.5,Boston
4RK,-1,2007,TRUE,661.5,Boston
4RL,-1,2007,FALSE,339.84,Boston
4RM,-1,2007,FALSE,339.84,Boston
4TQ,-1,2007,TRUE,288.75,Boston
4TR,-1,2007,TRUE,288.75,Boston
4V3,0.740740741,2007,FALSE,878.09,Boston
38D,0.9708,2007,FALSE,1191.02,Boston
3GV,0.3741,2007,FALSE,1198.88,Boston
3GW,0.3638,2007,TRUE,1315.39,Boston
3HU,0.9706,2007,FALSE,221.92,Boston
3GX,0.7102,2007,FALSE,472.72,Boston
3GY,0.8075,2007,FALSE,887.04,Boston
3HT,0.8841,2007,FALSE,180.56,Boston
3HR,0.7446,2007,FALSE,194.56,Boston
3HQ,0.9659,2007,FALSE,314.55,Boston
4RN,-1,2007,FALSE,1286.74,Boston
4TG,-1,2007,FALSE,1205.94,Boston
4RQ,-1,2007,TRUE,819.84,Boston
4V5,-1,2007,FALSE,1268.19,Boston
3HP,0.7589,2007,TRUE,2754.94,Boston
4V6,0.777777778,2007,FALSE,1972.86,Boston
3HN,0.9951,2007,FALSE,647.52,Boston
4V7,0.777777778,2007,FALSE,2823.75,Boston
86W,0.777777778,2007,FALSE,850.95,Boston
4V8,0.777777778,2007,FALSE,707.16,Boston
4V9,0.777777778,2007,FALSE,335.92,Boston
4VE,0.851851852,2007,FALSE,562.59,Boston
4VF,0.777777778,2007,FALSE,468.16,Boston
4VG,0.777777778,2007,FALSE,385.71,Boston
4VH,0.777777778,2007,FALSE,385.71,Boston
4VJ,0.777777778,2007,FALSE,624.64,Boston
4VP,0.777777778,2007,FALSE,275.52,Boston
4VQ,0.777777778,2007,FALSE,307.02,Boston
4VA,0.814814815,2007,FALSE,1029.66,Boston
4VB,0.777777778,2007,FALSE,418.7,Boston
4VC,0.814814815,2007,FALSE,691.44,Boston
4VD,0.777777778,2007,FALSE,315.98,Boston
390,0.8411,2007,FALSE,286.25,Boston
38E,0.9541,2007,FALSE,462.99,Boston
3HA,0.8136,2007,FALSE,310.5,Boston
3HL,0.9943,2007,FALSE,549.81,Boston
3H8,0.8364,2007,TRUE,395,Boston
3H7,0.8701,2007,FALSE,838.4,Boston
3H0,0.7639,2007,FALSE,1048.76,Boston
38F,0.8033,2007,TRUE,139.15,Boston
38G,0.7779,2007,FALSE,248.9,Boston
3HG,0.665501,2007,FALSE,116.62,Boston
3HF,0.8027,2007,FALSE,153.72,Boston
3HH,0.6564,2007,FALSE,1053.36,Boston
38H,0.9903,2007,FALSE,533.75,Boston
3FH,0.9796,2007,FALSE,2853.26,Boston
4VK,-1,2007,FALSE,471.24,Boston
4VL,-1,2007,FALSE,449.82,Boston
8MQ,-1,2007,FALSE,0,Boston
8RR,-1,2007,FALSE,0,Boston
4VM,-1,2007,FALSE,547.17,Boston
4ER,0.7833,2007,FALSE,1495.77,Boston
4VN,-1,2007,TRUE,409.21,Boston
38J,0.7963,2007,FALSE,240,Boston
3HC,1,2007,FALSE,300.15,Boston
3HB,0.9243,2007,FALSE,679.68,Boston
3H2,0.8162,2007,TRUE,556.95,Boston
