OBJECTID,City_num,RPA,Town_Name,All_Injuries_2004,All_Injuries_2005,All_Injuries_2006,All_Injuries_2007,All_Injuries_2008,All_Injuries_2009,All_Injuries_2010,All_Injuries_2011,All_Injuries_2012,All_Injuries_2013,All_Fatalities_2004,All_Fatalities_2005,All_Fatalities_2006,All_Fatalities_2007,All_Fatalities_2008,All_Fatalities_2009,All_Fatalities_2010,All_Fatalities_2011,All_Fatalities_2012,All_Fatalities_2013,2004_All_Crashes,2005_All_Crashes,2006_All_Crashes,2007_All_Crashes,2008_All_Crashes,2009_All_Crashes,2010_All_Crashes,2011_All_Crashes,2012_All_Crashes,2013_All_Crashes,2004_All_Bicycle_Crashes,2005_All_Bicycle_Crashes,2006_All_Bicycle_Crashes,2007_All_Bicycle_Crashes,2008_All_Bicycle_Crashes,2009_All_Bicycle_Crashes,2010_All_Bicycle_Crashes,2011_All_Bicycle_Crashes,2012_All_Bicycle_Crashes,2013_All_Bicycle_Crashes,2004_Bicycle_Fatal_Crashes,2005_Bicycle_Fatal_Crashes,2006_Bicycle_Fatal_Crashes,2007_Bicycle_Fatal_Crashes,2008_Bicycle_Fatal_Crashes,2009_Bicycle_Fatal_Crashes,2010_Bicycle_Fatal_Crashes,2011_Bicycle_Fatal_Crashes,2012_Bicycle_Fatal_Crashes,2013_Bicycle_Fatal_Crashes,2004_Bicycle_Number_Fatalities,2005_Bicycle_Number_Fatalities,2006_Bicycle_Number_Fatalities,2007_Bicycle_Number_Fatalities,2008_Bicycle_Number_Fatalities,2009_Bicycle_Number_Fatalities,2010_Bicycle_Numbe_Fatalities,2011_Bicycle_Number_Fatalities,2012_Bicycle_Number_Fatalities,2013_Bicycle_Number_Fatalities,2004_Bicycle_Injury_Crashes,2005_Bicycle_Injury_Crashes,2006_Bicycle_Injury_Crashes,2007_Bicycle_Injury_Crashes,2008_Bicycle_Injury_Crashes,2009_Bicycle_Injury_Crashes,2010_Bicycle_Injury_Crashes,2011_Bicycle_Injury_Crashes,2012_Bicycle_Injury_Crashes,2013_Bicycle_Injury_Crashes,2004_Bicycle_Number_Injuries,2005_Bicycle_Number_Injuries,2006_Bicycle_Number_Injuries,2007_Bicycle_Number_Injuries,2008_Bicycle_Number_Injuries,2009_Bicycle_NumberI_njuries,2010_Bicycle_Number_Injuries,2011_Bicycle_Number_Injuries,2012_Bicycle_Number_Injuries,2013_Bicycle_Number_Injuries,2004_All_Pedestrian_Crashes,2005_All_Pedestrian_Crashes,2006_All_Pedestrian_Crashes,2007_All_Pedestrian_Crashes,2008_All_Pedestrian_Crashes,2009_All_Pedestian_Crashes,2010_All_Pedestrian_Crashes,2011_All_Pedestrian_Crashes,2012_All_Pedestrian_Crashes,2013_All_Pedestrian_Crashes,2004_Pedestrian_Fatal_Crashes,2005_Pedestrian_Fatal_Crashes,2006_Pedestrian_Fatal_Crashes,2007_Pedestrian_Fatal_Crashes,2008_Pedestrian_Fatal_Crashes,2009_Pedestrian_Fatal_Crashes,2010_Pedestrian_Fatal_Crashes,2011_Pedestrian_Fatal_Crashes,2012_Pedestrian_Fatal_Crashes,2013_Pedestrian_Fatal_Crashes,2004_Pedestrian_NumberFatalities,2005_Pedestrian_NumberFatalities,2006_Pedestrian_NumberFatalities,2007_Pedestrian_NumberFatalites,2008_Pedestrian_Number_Fatalities,2009_Pedestrian_Number_Fatalities,2010_Pedestrian_Number_Fatalities,2011_Pedestrian_Number_Fatalities,2012_Pedestrian_Number_Fatalities,2013_Pedestrian_Number_Fatalities,2004_Pedestrian_Injury_Crashes,2005_Pedestrian_Injury_Crashes,2006_Pedestrian_Injury_Crashes,2007_Pedestrian_Injury_Crashes,2008_Pedestrian_Injury_Crashes,2009_Pedestrian_Injury_Crashes,2010_Pedestrian_Injury_Crashes,2011_Pedestrian_Injury_Crashes,2012_Pedestrian_Injury_Crashes,2013_Pedestrian_Injury_Crashes,2004_Pedestrian_Number_Injuries,2005_Pedestrian_Number_Injuries,2006_Pedestrian_Number_Injuries,2007_Pedestrian_Number_Injuries,2008_Pedestrian_Number_Injuries,2009_Pedestrian_Number_Injuries,2010_Pedestrian_Number_Injuries,2011_Pedestrian_Number_Injuries,2012_Pedestrian_Number_Injuries,2013_Pedestrian_Number_Injuries,2004_All_Truck_Crashes,2005_All_Truck_Crashes,2006_All_Truck_Crashes,2007_All_Truck_Crashes,2008_All_Truck_Crashes,2009_All_Truck_Crashes,2010_All_Truck_Crashes,2011_All_Truck_Crashes,2012_All_Truck_Crashes,2013_All_Truck_Crashes,2004_Truck_Fatal_Crashes,2005_Truck_Fatal_Crashes,2006_Truck_Fatal_Crashes,2007_Truck_Fatal_Crashes,2008_Truck_Fatal_Crashes,2009_Truck_Fatal_Crashes,2010_Truck_Fatal_Crashes,2011_Truck_Fatal_Crashes,2012_Truck_Fatal_Crashes,2013_Truck_Fatal_Crashes,2004_Truck_Number_Fatalities,2005_Truck_Number_Fatalities,2006_Truck_Number_Fatalities,2007_Truck_Number_Fatalities,2008_Truck_Number_Fatalities,2009_Truck_Number_Fatalities,2010_Truck_Number_Fatalities,2011_Truck_Number_Fatalities,2012_Truck_Number_Fatalities,2013_Truck_Number_Fatalities,2004_Truck_Injury_Crashes,2005_Truck_Injury_Crashes,2006_Truck_Injury_Crashes,2007_Truck_Injury_Crashes,2008_Truck_Injury_Crashes,2009_Truck_Injury_Crashes,2010_Truck_Injury_Crashes,2011_Truck_Injury_Crashes,2012_Truck_Injury_Crashes,2013_Truck_Injury_Crashes,2004_Truck_Number_Injuries,2005_Truck_Number_Injuries,2006_Truck_Number_Injuries,2007_Truck_Number_Injuries,2008_Truck_Number_Injuries,2009_Truck_Number_Injuries,2010_Truck_Number_Injuries,2011_Truck_Number_Injuries,2012_Truck_Number_Injuries,2013_Truck_Number_Injuries
14,49,MAPC,Cambridge,625,711,686,581,562,545,508,459,494,455,3,4,2,2,4,0,1,2,2,3,2053,2604,2449,2299,2128,1778,1764,1700,1688,1629,89,115,120,117,150,162,198,174,220,181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58,71,75,72,78,109,112,101,131,119,60,74,78,80,78,113,114,102,132,120,85,108,90,84,101,81,101,106,102,107,2,3,1,0,2,0,1,1,1,2,2,3,1,0,2,0,1,1,1,2,49,64,46,45,56,52,60,67,65,69,50,70,50,45,57,54,60,70,68,74,149,162,158,150,122,155,123,119,126,126,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,12,21,19,7,10,20,20,19,12,10,14,28,24,7,11,24,23,23,12,11
15,50,MAPC,Canton,204,242,230,208,238,203,202,159,180,161,4,0,1,2,2,1,2,0,3,3,535,703,637,662,601,467,523,456,458,460,2,1,2,5,5,3,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,4,3,2,2,1,0,2,1,1,2,4,8,2,2,1,0,2,5,5,10,3,3,5,1,4,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,5,9,3,1,3,1,3,5,1,2,5,10,3,1,3,1,3,6,44,48,44,55,47,39,49,51,25,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,9,10,15,11,9,10,14,4,8,28,12,16,17,15,13,14,18,9,11
16,51,MAPC,Carlisle,19,18,17,10,18,14,7,24,10,13,0,0,0,0,0,0,0,0,0,0,73,60,59,60,51,55,54,55,46,44,1,1,0,1,6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,1,1,1,1,0,0,1,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,1,0,1,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
17,57,MAPC,Chelsea,339,342,359,357,274,311,272,204,239,255,2,3,2,2,1,1,3,3,0,1,737,880,975,1099,956,910,821,751,835,933,13,10,17,15,9,18,12,11,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,14,11,4,13,7,9,7,14,10,6,14,11,4,13,7,9,7,15,32,47,33,62,52,46,56,57,41,66,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,1,0,0,23,35,27,45,36,37,39,41,31,50,27,36,29,46,37,37,42,42,32,56,52,55,74,77,72,60,73,56,63,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14,17,10,5,12,3,10,8,9,13,17,23,17,6,23,3,12,10
18,65,MAPC,Cohasset,31,44,36,40,27,35,37,25,39,32,0,0,0,0,1,0,1,0,1,0,131,148,122,129,132,148,125,94,143,151,1,1,2,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,2,0,1,1,1,1,0,0,5,8,9,13,9,10,9,4,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,2,5,0,1,2,1,2,2,6,0,4,6,0,1,3
19,67,MAPC,Concord,125,136,127,136,141,86,80,97,92,94,0,0,1,0,0,1,1,0,1,0,423,481,465,490,516,361,347,329,350,332,7,8,1,7,8,6,9,8,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,4,6,2,6,7,11,3,6,3,1,4,6,2,6,7,13,3,3,3,1,6,7,4,4,6,7,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,5,1,2,4,5,3,1,3,1,3,5,1,2,4,5,3,35,35,39,42,38,19,23,30,21,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,5,13,3,3,4,4,4,3,5,3,6,16,3,3,7,4,9,4,5
20,71,MAPC,Danvers,326,430,399,347,331,272,269,219,291,234,0,0,2,2,2,5,0,3,2,1,793,1004,1004,910,816,614,644,515,619,553,5,4,3,9,7,1,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,4,1,3,1,1,1,5,2,3,5,4,1,3,1,1,1,7,8,7,11,11,9,7,13,6,9,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,2,0,0,1,1,5,5,4,7,5,7,5,9,4,7,6,5,4,8,5,9,5,9,6,7,32,52,37,49,45,29,35,27,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,12,7,10,7,6,6,6,17,19,11,14,8,11,8,7,7,11
21,73,MAPC,Dedham,247,199,267,229,206,192,180,186,228,205,1,0,0,1,0,1,0,0,1,0,612,684,717,631,576,510,409,463,550,568,1,1,1,3,1,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,4,0,0,0,2,2,0,1,0,3,4,0,6,10,4,6,4,4,4,3,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,2,2,5,6,0,1,1,0,4,2,3,2,5,6,29,38,37,44,42,40,24,28,37,51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,11,6,12,11,9,5,9,13,8,10,16,10,14,11,13,9,10,20,10
22,78,MAPC,Dover,31,43,33,16,35,18,33,28,25,28,1,0,2,2,0,0,1,0,0,0,93,119,99,92,115,81,94,71,72,92,6,2,2,2,2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1,2,4,1,1,1,5,2,2,2,1,2,4,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,9,5,3,6,0,5,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,2,1,0,2,0,1,0,0,0
23,82,MAPC,Duxbury,32,103,47,93,79,34,78,86,71,72,1,0,1,1,0,0,0,1,0,0,76,264,134,204,208,76,189,181,169,178,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,1,6,6,4,7,7,5,11,12,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,2,8,0,0,0,2,4,3,2,1,5,11
24,92,MAPC,Essex,17,30,28,19,21,12,22,16,13,12,0,0,0,0,0,0,0,0,0,0,42,57,43,46,52,38,37,33,35,19,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3,3,0,5,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,1,0,1,2,0,0,0,0
25,93,MAPC,Everett,358,419,334,299,232,187,158,141,147,177,1,0,2,0,2,0,0,0,3,1,661,961,854,667,538,420,362,275,326,380,12,10,6,12,2,4,14,4,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,2,8,0,4,10,2,1,8,6,9,2,8,0,4,10,2,1,8,22,21,15,21,19,28,14,13,19,19,1,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,2,1,12,12,9,12,6,10,3,8,8,10,12,12,9,13,8,12,3,8,9,10,37,66,59,40,36,36,15,17,26,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,9,12,7,11,7,2,3,6,5,9,10,12,10,12,9,2,4,7,5
26,99,MAPC,Foxborough,162,174,134,146,166,161,74,157,128,143,4,2,2,3,2,1,0,1,4,1,363,468,422,433,461,380,229,463,454,431,4,0,2,2,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0,3,2,3,0,1,1,1,1,0,0,3,2,2,4,1,1,5,4,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,4,1,0,0,8,2,4,2,1,4,4,1,0,0,11,26,33,22,30,21,17,14,23,29,28,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,9,8,8,7,2,4,4,4,8,7,10,9,11,7,2,4,5,5,12
27,100,MAPC,Framingham,730,887,753,669,747,776,686,595,482,575,1,6,1,2,0,1,5,5,4,1,1993,2500,2219,2004,1987,1704,1740,1647,1437,1405,28,24,29,12,26,26,29,14,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,17,11,21,17,22,9,7,6,18,14,18,11,22,18,23,9,7,7,41,21,29,35,24,30,39,45,16,10,1,2,0,0,0,0,3,2,2,0,1,2,0,0,0,0,3,2,2,0,23,14,20,22,19,29,32,34,10,7,25,14,22,24,19,33,32,36,11,8,85,133,102,116,123,94,95,93,63,86,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,11,18,9,15,17,16,10,14,11,14,24,23,13,15,19,26,11,17,14,20
28,101,MAPC,Franklin,159,161,151,163,143,124,96,144,125,127,1,1,1,2,3,1,0,1,2,3,454,526,505,490,435,354,296,379,406,412,1,0,0,4,2,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,3,5,4,2,6,3,1,4,6,5,5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,2,5,4,4,2,0,1,1,1,0,3,6,4,5,31,60,41,35,22,24,15,29,23,31,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,4,12,7,11,5,8,5,4,2,3,4,13,7,11,5,8,10,4,4,3
29,107,MAPC,Gloucester,120,111,78,74,74,47,74,39,50,52,5,2,0,0,1,0,0,0,4,0,278,361,302,206,222,148,196,159,262,280,1,3,5,2,2,0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,0,1,0,2,0,1,2,6,1,1,0,1,0,2,0,8,4,6,2,5,1,5,4,6,2,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,5,1,2,1,1,0,4,2,1,2,7,1,2,2,1,0,4,3,1,2,13,20,19,8,12,11,12,13,13,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,3,2,1,1,1,4,2,1,2,9,4,3,2,4,1,7,2,1,2
30,119,MAPC,Hamilton,15,23,18,18,11,12,21,12,16,24,1,0,0,0,0,0,0,0,0,0,52,82,91,78,77,54,69,56,59,84,1,1,2,0,2,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,1,0,0,0,1,0,2,2,2,3,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,3,3,6,3,6,1,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,1,1,0,0,0,5
31,122,MAPC,Hanover,136,135,126,140,156,112,137,110,99,99,3,2,0,1,2,1,0,2,1,1,320,398,381,353,351,288,274,253,216,175,3,2,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,2,0,3,1,0,1,1,1,0,1,2,0,2,1,1,2,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,1,0,0,1,0,1,0,2,1,1,1,14,21,8,13,17,12,10,8,9,11,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,1,0,2,3,2,0,1,5,10,3,1,0,2,3,2,0,1,8
32,131,MAPC,Hingham,214,169,207,198,146,153,145,134,143,134,2,2,2,1,4,0,0,2,1,1,672,766,680,664,529,490,471,391,420,392,8,4,3,5,2,5,7,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,2,4,4,2,2,1,5,3,3,1,2,4,4,2,2,1,5,3,4,9,4,5,4,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,4,3,2,4,3,3,3,3,0,8,4,3,2,4,3,4,33,34,31,39,26,14,12,26,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,5,1,1,1,4,3,4,5,2,6,5,2,1,1,5,6,5
33,133,MAPC,Holbrook,83,104,93,70,71,88,92,72,95,71,0,0,1,1,0,1,0,2,0,0,183,231,207,200,199,210,206,192,204,210,3,0,2,4,1,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,4,2,2,0,0,3,0,2,2,1,4,2,2,0,0,4,1,6,6,7,4,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,5,1,3,3,2,2,3,1,4,2,5,1,3,3,2,2,4,5,2,11,15,11,11,8,10,11,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,3,1,3,2,3,3,1,0,1,4,5,3,3,3,3,5
34,136,MAPC,Holliston,90,89,82,100,84,82,74,81,105,61,0,1,1,0,0,0,0,1,0,0,237,290,256,243,235,251,212,249,233,216,1,2,0,2,2,6,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,0,1,2,1,0,2,0,2,2,4,0,1,2,2,1,1,2,3,6,3,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,5,1,2,1,0,1,1,2,5,3,5,2,4,1,12,22,13,16,15,9,17,14,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,2,4,2,0,1,1,4,1,3,1,2,7,3,0,1
35,139,MAPC,Hopkinton,118,178,137,152,137,73,125,104,109,104,2,2,3,0,0,3,0,1,1,4,387,482,435,453,382,325,404,353,398,411,1,1,0,0,2,2,3,1,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,2,1,1,0,0,0,1,2,1,0,3,1,1,2,2,3,3,3,1,4,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,3,1,2,2,1,2,0,1,0,4,3,1,4,2,53,55,33,46,39,33,43,37,33,52,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,9,14,5,15,5,7,7,8,4,3,11,19,7,17,8,9,7,9,8,6
36,141,MAPC,Hudson,148,131,141,133,88,91,96,89,73,136,0,2,0,1,1,0,1,3,0,0,507,540,455,465,373,334,326,379,362,455,0,3,6,5,1,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,1,2,0,1,0,0,2,2,0,3,5,5,3,0,2,1,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10,0,1,1,0,0,0,0,0,1,12,37,43,36,30,36,21,27,29,28,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,9,2,3,1,4,5,6,7,0,10,10,2,3,1,5,5,6,9,0,11
37,142,MAPC,Hull,27,29,29,30,31,13,18,20,4,29,0,0,0,0,0,0,0,0,0,0,125,112,139,139,114,85,70,90,20,96,6,2,5,5,4,4,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,3,3,3,0,0,5,3,0,2,2,3,3,3,0,0,5,4,1,1,1,3,0,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,2,3,1,5,3,1,0,3,2,0,2,5,1,5,3,7,4,6,7,2,2,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0
38,144,MAPC,Ipswich,49,49,47,39,40,42,41,37,31,37,1,0,0,0,0,1,0,0,0,1,167,192,183,189,184,139,129,134,100,113,2,3,1,4,3,0,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,3,3,3,1,1,1,1,2,0,0,3,4,3,1,1,0,0,3,4,5,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,3,2,2,1,1,0,0,6,13,10,5,12,9,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,1,0,1,1,3,1,0,0,2,1,3,0,1
39,155,MAPC,Lexington,269,297,293,300,220,207,189,181,156,156,3,0,4,4,3,2,3,2,1,0,688,868,823,834,778,644,596,592,538,564,13,8,19,19,9,13,10,4,19,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,7,12,13,5,10,10,2,16,6,11,8,13,13,5,10,10,2,16,6,6,14,16,15,10,11,19,8,12,7,0,0,1,2,1,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,3,12,12,9,4,9,12,7,9,5,4,14,13,9,4,11,14,7,9,6,38,57,52,47,49,46,40,50,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,8,7,6,8,7,10,7,4,9,20,9,11,7,11,8,15,7,4
40,157,MAPC,Lincoln,56,55,49,45,45,63,78,32,43,30,0,0,0,0,1,0,2,0,0,0,150,167,144,162,150,164,136,85,112,114,2,2,1,0,4,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,3,0,1,0,0,1,1,1,0,1,3,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,13,13,7,2,5,6,6,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,2,0,0,0,4,2,3,0,2,0,3,0,0,0
41,158,MAPC,Littleton,94,80,85,67,78,69,71,80,39,65,1,1,1,0,1,3,0,0,3,0,263,251,225,199,233,230,181,241,244,234,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,30,21,16,23,26,23,17,24,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,1,9,6,5,4,3,2,2,12,2,1,12,12,7,7,3,3,2
42,163,MAPC,Lynn,1164,1137,1079,959,889,775,725,645,681,645,3,4,4,3,5,4,4,2,5,5,3048,3119,2998,2848,2695,2406,2281,2138,2123,2194,43,30,45,42,36,43,49,36,36,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,17,30,21,18,23,30,16,23,19,16,21,33,22,18,25,30,16,23,19,96,87,91,89,100,83,71,82,92,92,1,2,1,0,3,1,0,0,4,2,1,2,1,0,3,1,0,0,4,2,57,55,56,64,57,49,41,49,51,73,61,56,57,68,64,49,45,50,56,78,163,145,125,106,137,101,78,83,83,133,2,0,1,0,0,0,1,0,0,2,2,0,1,0,0,0,1,0,0,2,22,14,20,15,9,12,12,10,7,19,33,18,28,19,10,17,18,10,10,24
